Date,Open,High,Low,Close,Adj Close,Volume,macd,sig,hist,buy_price,sell_price,trigger_signal,position,holding,cash_holding,holding_value,market_value,portfolio_value,daily_return,cumulative_ret
2020-07-28,44.45,44.85,39.25,40.20,39.99,51805011,,,,,,0.00,,0.00,100000.00,0.00,0.00,100000.00,,0.00
2020-07-29,40.00,40.30,37.60,39.15,38.95,21934229,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-07-30,39.65,42.00,39.30,40.05,39.84,38572300,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-07-31,40.80,42.00,40.50,41.65,41.43,21340345,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-08-03,42.15,43.00,40.55,40.75,40.54,25229928,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-08-04,41.20,41.65,39.40,39.70,39.49,26443818,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-08-05,39.45,41.25,39.30,40.75,40.54,19029600,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-08-06,40.90,41.00,39.00,39.55,39.34,18717277,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-08-07,39.85,40.85,39.00,39.20,38.99,18537718,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-08-10,37.00,38.45,37.00,37.25,37.06,26858391,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-08-11,37.60,38.75,35.35,36.15,35.96,25472679,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-08-12,35.80,36.15,33.40,34.65,34.47,34648373,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-08-13,34.65,38.25,33.95,37.50,37.30,27680300,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-08-14,37.40,38.15,36.20,37.20,37.01,12145638,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-08-17,37.40,40.25,37.30,38.80,38.60,25764300,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-08-18,39.35,39.80,38.50,39.10,38.90,12717495,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-08-19,39.05,40.25,38.60,38.65,38.45,8541168,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-08-20,37.80,39.45,37.80,39.15,38.95,7990322,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-08-21,39.65,40.40,39.40,39.60,39.39,13558474,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-08-24,39.80,40.00,38.70,39.95,39.74,9688897,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-08-25,40.50,41.05,38.55,39.75,39.54,19977937,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-08-26,39.45,39.85,36.00,36.05,35.86,24584078,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-08-27,34.70,36.70,34.15,35.60,35.41,35966922,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-08-28,35.60,36.45,34.75,35.50,35.31,11471088,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-08-31,35.50,35.90,32.35,33.20,33.03,32088139,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-09-01,33.55,34.60,32.50,32.75,32.58,15592842,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
2020-09-02,32.70,34.00,31.60,33.80,33.62,21026938,,,,,,0.00,0.00,0.00,100000.00,0.00,0.00,100000.00,0.00,0.00
