"","win_num","trans_num","winrate","return","ann_return"
"AXP",16,27,0.592592592592593,0.163045132661452,0.444920527203805
"AMGN",24,36,0.666666666666667,0.325551389004883,0.782153513449933
"AAPL",23,29,0.793103448275862,0.213654809712492,0.501934730529427
"BA",20,23,0.869565217391304,0.152431316626917,0.35976051172908
"CAT",20,22,0.909090909090909,0.135075273757268,0.662256210316214
"CSCO",10,14,0.714285714285714,0.755001903920398,1.00840132608506
"CVX",20,24,0.833333333333333,0.132893755972023,0.58774079037347
"GS",10,13,0.769230769230769,0.153118641196179,1.00677398260956
"HD",26,34,0.764705882352941,0.175309216246294,0.586646692720692
"HON",18,27,0.666666666666667,0.116087536357456,0.624034895042806
"IBM",13,30,0.433333333333333,0.107642646391467,0.43161258219851
"INTC",13,17,0.764705882352941,0.250162318083867,0.424710494353523
"JNJ",29,42,0.69047619047619,0.116587002508899,0.407432527544899
"KO",15,24,0.625,0.216894655878341,0.290051532878338
"JPM",15,19,0.789473684210526,0.178382023549431,0.548401352287613
"MCD",25,35,0.714285714285714,0.155363924983601,0.225251578429793
"MMM",31,45,0.688888888888889,0.0953413511755021,0.555318777008584
"MRK",16,22,0.727272727272727,0.179351860752978,0.452515540869126
"MSFT",27,32,0.84375,0.199146148760472,0.824958325243904
"NKE",39,49,0.795918367346939,0.14457294315567,0.825323610371365
"PG",23,56,0.410714285714286,0.0719410285387641,0.882301777013211
"TRV",23,29,0.793103448275862,0.130016645714729,0.667113303879359
"UNH",29,43,0.674418604651163,0.195710197342951,0.782275798058402
"CRM",30,33,0.909090909090909,0.169511832631485,1.04150871649525
"VZ",11,22,0.5,0.0547969865177959,0.355349607582357
"V",13,20,0.65,0.133962647471479,0.522608575867088
"WBA",15,24,0.625,0.187261756651506,0.423730152141445
"WMT",20,31,0.645161290322581,0.251769398937095,0.71856620338737
"DIS",21,29,0.724137931034483,0.181468485079673,0.553429613119622
"DOW",0,0,0,0,0
"overall",595,851,0.699177438307873,0.184208718261416,0.603347698234131
