"","win_num","trans_num","winrate","return","ann_return"
"AXP",107,944,0.113347457627119,0.000599436558487338,-1.22065085004333
"AMGN",103,842,0.122327790973872,0.00467714528678885,-1.03916385182136
"AAPL",163,884,0.184389140271493,0.00718044101600324,-1.57473562270898
"BA",108,977,0.110542476970317,0.000335022335153774,-1.25522674407831
"CAT",119,904,0.131637168141593,0.00407318995197249,-1.08329224839134
"CSCO",99,712,0.139044943820225,0.00259345758938631,-1.27499184299711
"CVX",75,950,0.0789473684210526,-0.00079888417966918,-1.08264855660964
"GS",52,509,0.102161100196464,0.000285825213755899,-1.45811965450481
"HD",112,859,0.130384167636787,0.00516429966844685,-1.07197539071002
"HON",78,947,0.0823653643083421,-8.93182486681799e-05,-1.06549353698731
"IBM",81,943,0.0858960763520679,0.000950589224311057,-0.96823659834452
"INTC",128,945,0.135449735449735,0.000829096793380284,-1.41602806754188
"JNJ",63,954,0.0660377358490566,-0.000208175792789337,-0.866392330256241
"KO",75,945,0.0793650793650794,0.00155183760982928,-0.794314640158274
"JPM",95,846,0.112293144208038,0.00277614575460509,-1.14845420218108
"MCD",74,950,0.0778947368421053,0.00135107736190047,-0.853693425619202
"MMM",60,939,0.0638977635782748,0.000527258341332197,-0.773957010290304
"MRK",77,929,0.0828848223896663,0.000404774797560556,-1.03622445123743
"MSFT",95,846,0.112293144208038,0.00355486208654237,-1.05978229805068
"NKE",118,923,0.127843986998917,0.00383633448921043,-1.05542180899485
"PG",57,937,0.0608324439701174,0.000830424142232115,-0.730657237716181
"TRV",72,793,0.0907944514501892,0.00258899805661688,-0.833768257813622
"UNH",86,731,0.117647058823529,0.00388617869524517,-1.04483944953488
"CRM",67,398,0.168341708542714,0.00418867731195236,-1.65592195266015
"VZ",61,855,0.0713450292397661,-6.35606995461776e-05,-0.898666545950563
"V",27,340,0.0794117647058823,0.00158239076249179,-1.11360452054032
"WBA",86,810,0.106172839506173,0.000438574842577161,-1.26251222152224
"WMT",94,935,0.100534759358289,0.00254600762070856,-0.800098164587009
"DIS",106,915,0.115846994535519,0.00375789303560962,-1.03394983552528
"DOW",8,79,0.10126582278481,-0.00701516242320637,-2.10469717045619
"overall",2546,24541,0.103744753677519,0.00174449457340736,-1.1192506162611
