"","win_num","trans_num","winrate","return","ann_return"
"AXP",60,292,0.205479452054795,0.00754846678430654,-0.836172268784723
"AMGN",58,256,0.2265625,0.0215388873208637,-0.640247689424483
"AAPL",85,233,0.36480686695279,0.0349828730441598,-0.687821831993385
"BA",64,264,0.242424242424242,0.0139012978748108,-0.792756347659949
"CAT",69,292,0.236301369863014,0.0105398316159661,-0.641008241889844
"CSCO",51,204,0.25,0.023293299931885,-0.768710877907953
"CVX",54,266,0.203007518796992,0.00688834196065172,-0.629045320931695
"GS",36,155,0.232258064516129,0.00447733647128064,-0.932187640660257
"HD",64,259,0.247104247104247,0.0209596961257361,-0.832279897491902
"HON",49,256,0.19140625,0.00663077251815066,-0.706731392243504
"IBM",55,248,0.221774193548387,0.0143588670950849,-0.410370053136641
"INTC",77,271,0.284132841328413,0.0142635669443495,-0.802495606357373
"JNJ",45,277,0.162454873646209,0.00375537722624943,-0.650637771410756
"KO",41,284,0.144366197183099,0.00394399663205238,-0.50982478748212
"JPM",55,256,0.21484375,0.00711462392243837,-0.918610376284652
"MCD",54,275,0.196363636363636,0.0102478165706319,-0.482133203042107
"MMM",47,279,0.168458781362007,0.00549689103154348,-0.530166286229747
"MRK",58,279,0.207885304659498,0.00964852138245345,-0.521490391161578
"MSFT",56,231,0.242424242424242,0.0219257505815047,-0.675625946921575
"NKE",68,270,0.251851851851852,0.0147272659077063,-0.573950583823866
"PG",52,270,0.192592592592593,0.00940125015721476,-0.453706321921454
"TRV",50,217,0.230414746543779,0.0123029075234364,-0.586564623635404
"UNH",47,215,0.218604651162791,0.0243609580327249,-0.277402081321306
"CRM",38,120,0.316666666666667,0.0280197653165005,-0.512557663758255
"VZ",37,246,0.150406504065041,0.000924548013814033,-0.688455012344071
"V",23,83,0.27710843373494,0.0165905130678666,-0.503047601952269
"WBA",46,239,0.192468619246862,0.00737976141760767,-0.833191108476905
"WMT",55,267,0.205992509363296,0.0110059812048267,-0.455413904282503
"DIS",75,274,0.273722627737226,0.0121647053070669,-0.530070658417231
"DOW",4,17,0.235294117647059,0.00653091807559576,-0.547156542192454
"overall",1573,7095,0.221705426356589,0.0128308263019493,-0.630994401104665
