"","win_num","trans_num","winrate","return","ann_return"
"AXP",26,53,0.490566037735849,0.0784983294887237,-0.0774243572007213
"AMGN",21,59,0.355932203389831,0.118031994239043,-0.152511003502921
"AAPL",23,60,0.383333333333333,0.158353917694202,-0.141916490130564
"BA",20,57,0.350877192982456,0.053494876299213,-0.22908697033034
"CAT",19,52,0.365384615384615,0.088577965644417,-0.185790280973489
"CSCO",18,42,0.428571428571429,0.25113449362456,-0.0236845699233475
"CVX",20,58,0.344827586206897,0.0287554457497546,-0.231966244214387
"GS",12,32,0.375,0.0668475985594482,-0.209068912103328
"HD",20,48,0.416666666666667,0.258495775747334,-0.12649144368003
"HON",24,62,0.387096774193548,0.0337069788465565,-0.168130260520594
"IBM",19,67,0.283582089552239,0.012133686917722,-0.327458314448053
"INTC",24,61,0.39344262295082,0.0897168754571977,-0.243274439051577
"JNJ",23,57,0.403508771929825,0.0483842063785549,-0.0610756342917707
"KO",20,59,0.338983050847458,0.0511897672814502,-0.120429469574404
"JPM",18,52,0.346153846153846,0.0586498932142986,-0.111318370319046
"MCD",24,62,0.387096774193548,0.0462196906474368,-0.148048520035888
"MMM",18,64,0.28125,0.019417120494171,-0.240880903482284
"MRK",23,64,0.359375,0.0437847293286074,-0.118294911788888
"MSFT",19,47,0.404255319148936,0.165103228674019,0.00600875624527396
"NKE",28,59,0.474576271186441,0.0778250686949759,-0.167989845350066
"PG",17,61,0.278688524590164,0.0395281411030007,-0.118889098523655
"TRV",14,56,0.25,0.000151311390451242,-0.238657631608227
"UNH",20,41,0.48780487804878,0.135503946569087,-0.103966210228484
"CRM",12,25,0.48,0.0871516916979805,-0.162335030928773
"VZ",13,51,0.254901960784314,0.0223394160963136,-0.283541671969521
"V",9,18,0.5,0.0719811923939775,0.0118420984890859
"WBA",21,55,0.381818181818182,0.0332882315657572,-0.286610123932077
"WMT",22,58,0.379310344827586,0.0672152671765978,-0.040805758582341
"DIS",27,65,0.415384615384615,0.0609961792171934,-0.107943181969311
"DOW",1,4,0.25,0.0797676556236328,-1.57762353745357
"overall",575,1549,0.371207230471272,0.0782081558605225,-0.199578744379443
