"","win_num","trans_num","winrate","return","ann_return"
"AXP",88,899,0.0978865406006674,-0.000493667974612198,-1.46263893571139
"AMGN",93,808,0.11509900990099,0.00613227887088894,-1.34931476156017
"AAPL",128,810,0.158024691358025,0.00899494224748935,-1.65145615783598
"BA",94,911,0.103183315038419,0.0023138661814068,-1.47742705701319
"CAT",102,823,0.123936816524909,0.00394878878426912,-1.15446949327088
"CSCO",95,680,0.139705882352941,0.00424889798982897,-1.63432094087634
"CVX",66,902,0.0731707317073171,-0.000129323739703228,-1.092676845879
"GS",57,486,0.117283950617284,0.000285066639498014,-1.61720476286356
"HD",112,827,0.135429262394196,0.0047974404466161,-1.32741797684348
"HON",79,874,0.0903890160183066,-0.000155382492987529,-1.15507050518961
"IBM",75,886,0.0846501128668172,0.00171587797519788,-1.28153491260004
"INTC",117,929,0.125941872981701,0.000862313837345961,-1.64642907140841
"JNJ",71,893,0.0795072788353863,0.00103428589630156,-1.06281433291714
"KO",65,879,0.0739476678043231,0.001167941344873,-0.960651969414862
"JPM",86,758,0.113456464379947,0.0020520357124228,-1.43813492626236
"MCD",72,912,0.0789473684210526,0.00155488277203649,-0.974098181299747
"MMM",57,920,0.0619565217391304,-0.000293651142163945,-1.01604966971744
"MRK",89,866,0.102771362586605,0.000680076929840181,-1.19002359201855
"MSFT",87,777,0.111969111969112,0.00453392078430756,-1.10134098333739
"NKE",106,865,0.122543352601156,0.00482569452652311,-1.10284669698035
"PG",63,928,0.0678879310344828,0.000856613323108843,-0.893226911550839
"TRV",64,770,0.0831168831168831,0.000907489577412095,-1.22126917504363
"UNH",85,670,0.126865671641791,0.00562327319743255,-1.32442145765926
"CRM",66,373,0.176943699731903,0.00887029555527207,-1.44119162822774
"VZ",59,830,0.0710843373493976,-0.000376666277827368,-1.174675309807
"V",19,321,0.059190031152648,0.00128357497503333,-1.30895224265057
"WBA",82,812,0.100985221674877,0.00175395377673163,-1.31747378185792
"WMT",91,885,0.102824858757062,0.00192584676096672,-1.11050614776416
"DIS",83,898,0.0924276169265033,0.0017565068927471,-1.22131915776994
"DOW",7,65,0.107692307692308,-0.00360420327308687,-2.15059864989475
"overall",2358,23257,0.101388829169712,0.00223576566990563,-1.29531854117419
