"","win_num","trans_num","winrate","return","ann_return"
"AXP",48,226,0.212389380530973,0.00437154619894528,-0.838568131632741
"AMGN",54,178,0.303370786516854,0.0486183557813288,-0.563919246247479
"AAPL",65,171,0.380116959064327,0.0623331053067702,-0.919311282699463
"BA",50,209,0.239234449760766,0.0187769605418384,-0.595270103081399
"CAT",53,200,0.265,0.0186680067291434,-0.576552676209668
"CSCO",45,172,0.261627906976744,0.0364584905221853,-0.886818553918664
"CVX",41,233,0.175965665236052,0.00337123805535825,-0.70455454853904
"GS",28,115,0.243478260869565,0.00588003912822492,-1.11392687689058
"HD",55,193,0.284974093264249,0.0385887050007943,-0.533128648052846
"HON",47,215,0.218604651162791,0.0101998744474892,-1.01738438099731
"IBM",42,193,0.217616580310881,0.0199578854305284,-0.497429156585912
"INTC",46,205,0.224390243902439,0.0105348616016888,-0.975253757003783
"JNJ",38,221,0.171945701357466,0.00528884925213545,-0.670335482931043
"KO",46,221,0.208144796380091,0.0100317981367702,-0.503523808629421
"JPM",46,186,0.247311827956989,0.0179306590014235,-0.485165970807789
"MCD",42,207,0.202898550724638,0.0140440266349852,-0.347160108838631
"MMM",43,214,0.200934579439252,0.00763196989414376,-0.771230423445183
"MRK",52,211,0.246445497630332,0.0134435375357993,-0.602279061623174
"MSFT",50,173,0.289017341040462,0.0412433095071085,-0.578893341509744
"NKE",65,193,0.336787564766839,0.0329212300247336,-0.346867594495918
"PG",44,233,0.188841201716738,0.00935729958411115,-0.591400681944613
"TRV",41,173,0.236994219653179,0.0127031196254731,-0.847729173685947
"UNH",44,159,0.276729559748428,0.0332996309309088,-0.184146845318303
"CRM",32,86,0.372093023255814,0.0386603310247499,-0.570140230342319
"VZ",41,214,0.191588785046729,0.00869595631963005,-0.433104794250922
"V",15,70,0.214285714285714,0.0142397513363475,-0.527272872001542
"WBA",43,200,0.215,0.00664544530162066,-0.891459301617801
"WMT",47,217,0.216589861751152,0.0105214332609705,-0.451867915150423
"DIS",52,204,0.254901960784314,0.0150743630197159,-0.763858062728354
"DOW",4,12,0.333333333333333,0.0176269514043857,-0.259388097022784
"overall",1319,5504,0.239643895348837,0.0195706243513103,-0.634931370940093
