"","win_num","trans_num","winrate","return","ann_return"
"AXP",23,42,0.547619047619048,0.114522192404574,-0.0620507442936338
"AMGN",17,41,0.414634146341463,0.185704131613136,0.00145426960614755
"AAPL",19,40,0.475,0.217404915202737,0.00586270092809219
"BA",15,37,0.405405405405405,0.0843776997485961,-0.263878785782199
"CAT",17,39,0.435897435897436,0.0899449798161754,-0.285188124586506
"CSCO",13,32,0.40625,0.158705231708386,-0.0402180125963639
"CVX",14,40,0.35,0.0389555155236422,-0.14338442868812
"GS",13,25,0.52,0.0906420410441874,-0.169042473890597
"HD",16,34,0.470588235294118,0.260506631539629,0.0541461727498754
"HON",21,45,0.466666666666667,0.0621681113185259,-0.0185679470182175
"IBM",13,49,0.26530612244898,0.00587183533727893,-0.158279680411105
"INTC",17,46,0.369565217391304,0.0607514637606958,-0.31030399046549
"JNJ",17,42,0.404761904761905,0.0535217842592625,-0.0157839723570515
"KO",15,43,0.348837209302326,0.0553530174875527,-0.153026331047389
"JPM",12,37,0.324324324324324,0.0795295677118967,-0.223506866608765
"MCD",16,37,0.432432432432432,0.122826265590677,-0.21116556834863
"MMM",16,38,0.421052631578947,0.0462366548774577,-0.113055339281628
"MRK",20,49,0.408163265306122,0.0471669429734319,-0.155879868356601
"MSFT",13,30,0.433333333333333,0.327509673679791,-0.208144153602329
"NKE",20,43,0.465116279069767,0.101614029587657,-0.198667055975669
"PG",14,40,0.35,0.0702738152565257,-0.05422422508069
"TRV",13,43,0.302325581395349,0.00748115775238186,-0.361238534003432
"UNH",21,30,0.7,0.176459822886188,0.183178309645945
"CRM",9,22,0.409090909090909,0.077896846027954,-0.247638855916557
"VZ",12,40,0.3,0.0069600680248734,-0.211436321788556
"V",6,12,0.5,0.144106548805623,0.0632901699557318
"WBA",14,38,0.368421052631579,0.068832964171359,-0.265204940903265
"WMT",19,44,0.431818181818182,0.147948254844286,0.0287805405134254
"DIS",21,50,0.42,0.053296923952934,-0.075576417026627
"DOW",1,2,0.5,0.185112764902644,-0.305878908949095
"overall",457,1110,0.411711711711712,0.104722728393669,-0.13048764611931
