"","win_num","trans_num","winrate","return","ann_return"
"AXP",42,186,0.225806451612903,0.0048599646817277,-0.624413469511689
"AMGN",53,167,0.317365269461078,0.0390385704708446,-0.236140999581878
"AAPL",63,164,0.384146341463415,0.0396454334717909,-0.645685487093209
"BA",47,157,0.299363057324841,0.0277750997056354,-0.527760993862625
"CAT",53,187,0.283422459893048,0.00917090683456477,-0.548262663234889
"CSCO",39,134,0.291044776119403,0.0434040462226976,-0.606265165806534
"CVX",35,174,0.201149425287356,0.00410121457262982,-0.562557152082383
"GS",25,96,0.260416666666667,0.0165290237522583,-0.77614425942206
"HD",56,164,0.341463414634146,0.0567841582639378,-0.677254498348571
"HON",43,174,0.247126436781609,0.0166216810201814,-0.590735084754363
"IBM",39,174,0.224137931034483,0.0142973013599927,-0.347357361161247
"INTC",48,176,0.272727272727273,0.0201496877001485,-0.831162985381833
"JNJ",43,171,0.251461988304094,0.00999056015482336,-0.246939762210289
"KO",37,199,0.185929648241206,0.010115390782151,-0.611121290923848
"JPM",38,176,0.215909090909091,0.0127575911839438,-0.585744796126344
"MCD",36,173,0.208092485549133,0.0100208408937814,-0.409271616644624
"MMM",36,157,0.229299363057325,0.0202087972032237,-0.450982688974918
"MRK",42,167,0.251497005988024,0.0167683709939536,-0.547847167206496
"MSFT",46,141,0.326241134751773,0.0424701166881983,-0.558863865213479
"NKE",58,160,0.3625,0.0248660250080721,-0.568218782889689
"PG",32,196,0.163265306122449,0.00671764521177063,-0.590108486293741
"TRV",43,153,0.281045751633987,0.0113003491364962,-0.374513574422551
"UNH",42,136,0.308823529411765,0.0309054376284406,-0.372021471052533
"CRM",26,83,0.313253012048193,0.0211253298025113,-0.628015201709811
"VZ",26,166,0.156626506024096,-0.00297474230660168,-0.476931293592452
"V",19,65,0.292307692307692,0.0123768022195713,-0.477474043663876
"WBA",36,146,0.246575342465753,0.00897479035774345,-0.514132650030064
"WMT",42,177,0.23728813559322,0.0170717417437007,-0.42284406888113
"DIS",52,188,0.276595744680851,0.0138968105931353,-0.602860786079669
"DOW",5,14,0.357142857142857,0.00512158460514972,-0.567378627846361
"overall",1202,4621,0.260116857822982,0.0188030176652158,-0.532633676466772
