"","win_num","trans_num","winrate","return","ann_return"
"0005.hk",34,443,0.0767494356659142,0.000660464874714594,-0.712296195064145
"0011.hk",24,474,0.0506329113924051,0.000895313336367896,-0.628377432272031
"0388.hk",75,447,0.167785234899329,0.0116071251771596,-0.649354043815324
"0939.hk",41,337,0.121661721068249,0.00204294658658235,-0.970701421335859
"1299.hk",14,256,0.0546875,-0.00252573374076122,-0.895863665272334
"1398.hk",34,304,0.111842105263158,0.00393969627278355,-0.983861487392805
"2318.hk",55,352,0.15625,0.00995915253359845,-0.747923796633598
"2388.hk",44,405,0.108641975308642,0.00187556862342873,-1.06908403977307
"2628.hk",51,386,0.132124352331606,0.00494912736930553,-0.99445296915416
"3968.hk",52,315,0.165079365079365,0.00818310216866443,-0.952086518795032
"3988.hk",33,325,0.101538461538462,0.00102047998525426,-0.695293013479012
"0002.hk",12,499,0.0240480961923848,-0.000216526016744478,-0.497914487853097
"0003.hk",19,490,0.0387755102040816,0.000913618938309199,-0.558961120587446
"0006.hk",17,497,0.03420523138833,-0.00209910312989937,-0.642985050209193
"1038.hk",33,499,0.0661322645290581,-0.000492669032277996,-0.871940735815715
"0012.hk",58,471,0.123142250530786,0.00296724568092179,-0.774628984031921
"0016.hk",43,459,0.093681917211329,0.00155605838834014,-0.815203039148238
"0017.hk",72,448,0.160714285714286,0.00779192530236655,-1.09874085015906
"0101.hk",49,471,0.104033970276008,-0.000242953716272165,-1.1405074906186
"0688.hk",78,486,0.160493827160494,0.00222172331182125,-1.47861816166756
"0823.hk",21,310,0.067741935483871,0.000872071219491085,-0.780438399079772
"0960.hk",37,236,0.156779661016949,0.00927071719367075,-0.821208521650691
"1109.hk",91,467,0.194860813704497,0.00568901561530132,-1.44184599696972
"1113.hk",11,139,0.079136690647482,0.00274319278999227,-1.10209891749888
"1997.hk",6,84,0.0714285714285714,-0.00343964679948336,-1.42435001381615
"2007.hk",51,299,0.17056856187291,0.0111479326965847,-1.06303822956701
"6098.hk",15,79,0.189873417721519,0.00641919684197165,-2.02484080225582
"0001.hk",38,441,0.0861678004535147,0.000582982757600841,-0.864087030470021
"0027.hk",78,462,0.168831168831169,0.00897266348243686,-1.11808879223263
"0066.hk",31,473,0.06553911205074,0.00193160191652688,-0.784730375199732
"0175.hk",75,337,0.222551928783383,0.0142879350476066,-1.25265095645417
"0241.hk",68,389,0.174807197943445,0.00839313699720849,-2.21160893043481
"0267.hk",62,434,0.142857142857143,0.00870854505666564,-0.768688029597417
"0288.hk",22,166,0.132530120481928,-0.00327473532630763,-1.84378724083712
"0386.hk",50,452,0.110619469026549,0.000811698729588611,-1.28700095317387
"0669.hk",45,403,0.11166253101737,-0.000503902417227158,-1.39224598522435
"0700.hk",71,378,0.187830687830688,0.00594372937956876,-1.03571565396505
"0762.hk",46,465,0.0989247311827957,-0.00355308250277846,-1.54745673834877
"0857.hk",52,459,0.113289760348584,0.000560575423884888,-1.32447226487122
"0868.hk",62,350,0.177142857142857,0.0116248967752455,-0.890394260424824
"0883.hk",54,378,0.142857142857143,0.00323182892827894,-1.06727273378328
"0941.hk",41,468,0.0876068376068376,-0.000445776153338175,-1.25549223393897
"0968.hk",28,177,0.15819209039548,0.00936227067105479,-0.818142425320413
"1044.hk",65,470,0.138297872340426,0.0026610856293327,-1.21889212402936
"1093.hk",62,406,0.152709359605911,0.00458384342325877,-1.32109434678829
"1177.hk",59,386,0.152849740932642,0.00495087500983361,-1.73189315753794
"1211.hk",71,414,0.171497584541063,0.00872041098342496,-1.47815655424676
"1810.hk",11,72,0.152777777777778,0.00457016315083226,-1.3186689429055
"1876.hk",5,46,0.108695652173913,-0.00505963879842983,-1.77707463988099
"1928.hk",34,260,0.130769230769231,-0.000403977692009871,-1.37137055535377
"2018.hk",65,358,0.181564245810056,0.00572461453036852,-1.54096780312068
"2020.hk",55,317,0.173501577287066,0.00257330862624749,-1.74529966188217
"2269.hk",22,101,0.217821782178218,0.0161796370547021,-1.02061608741358
"2313.hk",42,348,0.120689655172414,0.00188517311748256,-1.16132515980144
"2319.hk",46,387,0.118863049095607,0.00211242254021968,-1.23095011117273
"2331.hk",75,395,0.189873417721519,0.00448618057814382,-1.7933002773327
"2382.hk",59,311,0.189710610932476,0.00817896070073346,-1.05531556617853
"3690.hk",19,68,0.279411764705882,0.0163597148627332,-1.34029715669459
"6862.hk",13,72,0.180555555555556,0.00852384818530454,-0.907816087384303
"9988.hk",6,45,0.133333333333333,-0.00639160694692305,-1.85678830890337
"overall",2602,20666,0.125907287331849,0.00389997376987436,-1.15280460881366
