"","win_num","trans_num","winrate","return","ann_return"
"0005.hk",18,140,0.128571428571429,0.000618850815198154,-0.564909897123442
"0011.hk",15,146,0.102739726027397,-0.00203879818110207,-0.48136483016019
"0388.hk",35,137,0.255474452554745,0.0296419711600308,-0.366876628732444
"0939.hk",13,102,0.127450980392157,0.00438604389467404,-0.674973412041648
"1299.hk",14,78,0.179487179487179,0.000573758546490592,-0.728093335211486
"1398.hk",15,101,0.148514851485149,-0.00263469669994678,-0.486218654140476
"2318.hk",29,110,0.263636363636364,0.0278717062467944,-0.892149365171077
"2388.hk",22,116,0.189655172413793,0.018126211252351,-0.493039417083161
"2628.hk",29,118,0.245762711864407,0.0156182541051339,-0.480917831454272
"3968.hk",25,95,0.263157894736842,0.0148569786762657,-0.530839748245621
"3988.hk",17,93,0.182795698924731,0.00642915368256475,-0.289109533327373
"0002.hk",10,138,0.072463768115942,0.00107340698645395,-0.155900446765441
"0003.hk",18,121,0.148760330578512,0.0048320167690193,-0.429676201363366
"0006.hk",15,131,0.114503816793893,0.000700750588275597,-0.386114481844153
"1038.hk",14,140,0.1,0.000697523358730193,-0.776361238685909
"0012.hk",32,137,0.233576642335766,0.00595258594035371,-0.731340806010835
"0016.hk",30,144,0.208333333333333,0.0076811637820886,-0.751525218764601
"0017.hk",32,130,0.246153846153846,0.0155974531387136,-0.870385070168746
"0101.hk",29,143,0.202797202797203,0.0101140572170596,-0.913514440093858
"0688.hk",38,169,0.224852071005917,0.0029513971932578,-1.06587480352064
"0823.hk",16,91,0.175824175824176,0.00984548617057652,-0.591254634347283
"0960.hk",20,76,0.263157894736842,0.0125543233436783,-0.395742854318948
"1109.hk",33,161,0.204968944099379,0.00792896890698254,-0.970189810014523
"1113.hk",10,44,0.227272727272727,0.00566097003546296,-0.739311683418172
"1997.hk",3,32,0.09375,-0.0184605217870784,-1.13491346687876
"2007.hk",23,95,0.242105263157895,0.0196999529564336,-0.867879052989797
"6098.hk",11,25,0.44,0.0378852717097199,-1.19405289299932
"0001.hk",28,141,0.198581560283688,0.00026222369139785,-0.634668858762483
"0027.hk",44,130,0.338461538461538,0.0436823409108834,-0.491694854553926
"0066.hk",19,130,0.146153846153846,0.00643606134165187,-0.283164471816702
"0175.hk",35,93,0.376344086021505,0.0581890203427509,-0.792420769223201
"0241.hk",27,96,0.28125,0.12709515326932,-0.476335160141989
"0267.hk",33,129,0.255813953488372,0.0131807071510844,-0.758090405326753
"0288.hk",10,51,0.196078431372549,0.00261630509598,-1.48421628859634
"0386.hk",31,156,0.198717948717949,0.00149896114543327,-0.525212342393978
"0669.hk",24,121,0.198347107438017,0.00499164476788282,-1.02038471883053
"0700.hk",39,117,0.333333333333333,0.0311812590042119,-0.765460989580827
"0762.hk",28,141,0.198581560283688,-0.00791375823983819,-1.30530521269997
"0857.hk",31,135,0.22962962962963,0.00930436603779372,-0.929148825723402
"0868.hk",36,110,0.327272727272727,0.0257225814617112,-0.647236171477216
"0883.hk",29,118,0.245762711864407,0.00967914643930556,-1.04922835445205
"0941.hk",27,131,0.206106870229008,-0.00574681485762124,-0.763988297292595
"0968.hk",14,47,0.297872340425532,0.0272656197752765,-0.980331613344752
"1044.hk",33,142,0.232394366197183,0.00924700370313559,-1.05104186269328
"1093.hk",30,103,0.29126213592233,0.0262551400377407,-0.595810320136414
"1177.hk",34,111,0.306306306306306,0.0303611502629451,-0.908700802435488
"1211.hk",26,103,0.252427184466019,0.0560414598726294,-1.03150529563574
"1810.hk",4,14,0.285714285714286,0.0340712761587978,-0.992426766705617
"1876.hk",2,13,0.153846153846154,-0.00833212035725297,-0.643156911169757
"1928.hk",18,71,0.253521126760563,0.0114985167426636,-0.839492113985469
"2018.hk",27,116,0.232758620689655,0.00481328090625913,-1.53687103264871
"2020.hk",32,105,0.304761904761905,0.00677343289081793,-1.08589243993842
"2269.hk",10,33,0.303030303030303,0.0394102824571539,-1.72297889473387
"2313.hk",25,86,0.290697674418605,0.029281729326046,-0.827417929594314
"2319.hk",27,124,0.217741935483871,0.0165832764445121,-0.925823569645625
"2331.hk",33,110,0.3,0.0272563543395282,-1.06322392927793
"2382.hk",32,89,0.359550561797753,0.0468730794215028,-0.823585571256115
"3690.hk",5,18,0.277777777777778,0.115919393379359,-0.835222351299296
"6862.hk",7,23,0.304347826086957,0.0180152377887382,-1.65005918830389
"9988.hk",2,12,0.166666666666667,-0.0194913579430695,-0.863446464014016
"overall",1368,6132,0.223091976516634,0.0171697698762819,-0.804434542209437
