"","win_num","trans_num","winrate","return","ann_return"
"0005.hk",9,27,0.333333333333333,0.0354737823399494,-0.0742691331494283
"0011.hk",11,29,0.379310344827586,0.0390471276999825,-0.136342425361908
"0388.hk",13,32,0.40625,0.152752970872866,0.0417631365292508
"0939.hk",6,25,0.24,0.024612796920015,-0.03904186473019
"1299.hk",8,14,0.571428571428571,0.069083659750419,-0.146448121764371
"1398.hk",6,23,0.260869565217391,0.0159615090461893,-0.26227207960272
"2318.hk",8,24,0.333333333333333,0.130589971975065,-0.016498419636736
"2388.hk",8,25,0.32,0.0757897317303628,-0.061748719231858
"2628.hk",9,25,0.36,0.0710909948133526,-0.258120830512598
"3968.hk",9,19,0.473684210526316,0.106143074064268,-0.231231544491574
"3988.hk",6,22,0.272727272727273,0.0181216251527267,-0.254322190314737
"0002.hk",8,32,0.25,0.0133893534858744,-0.116449330413303
"0003.hk",10,30,0.333333333333333,0.0296618163230136,-0.153115711115622
"0006.hk",9,31,0.290322580645161,0.0119725909164265,-0.125193557431249
"1038.hk",10,33,0.303030303030303,0.0131067213621365,-0.118708999910909
"0012.hk",9,37,0.243243243243243,-0.00887527462435262,-0.611292032136862
"0016.hk",11,32,0.34375,0.0195404049595321,-0.303618825685551
"0017.hk",8,29,0.275862068965517,-0.00519251868437631,-0.296748597155761
"0101.hk",9,32,0.28125,0.015821570787421,-0.245528955222718
"0688.hk",11,33,0.333333333333333,0.133468521416136,-0.0613472931247319
"0823.hk",9,18,0.5,0.0696209023491283,-0.0650042787856269
"0960.hk",6,17,0.352941176470588,0.0537021647070521,-0.409814815055855
"1109.hk",12,30,0.4,0.179430208109675,-0.281949992168299
"1113.hk",3,8,0.375,0.00378083815576094,-0.245139540704239
"1997.hk",2,5,0.4,-0.0108140190776121,-0.371910459621826
"2007.hk",5,20,0.25,0.132948785274449,-0.203707960188119
"6098.hk",3,3,1,0.624258898904611,0.753702936561919
"0001.hk",8,31,0.258064516129032,-0.00691306910694138,-0.332415959351939
"0027.hk",13,32,0.40625,0.416339362780228,-0.111939780730766
"0066.hk",10,29,0.344827586206897,0.0289952985620546,-0.136157229562024
"0175.hk",9,22,0.409090909090909,0.322450858641209,-0.131938951485944
"0241.hk",11,23,0.478260869565217,0.805162577693912,0.979004053859246
"0267.hk",8,36,0.222222222222222,-0.0034840290355685,-0.577999969273871
"0288.hk",3,12,0.25,-0.00640310662454157,-0.538943550149626
"0386.hk",12,33,0.363636363636364,0.0499862130995759,-0.26696629180171
"0669.hk",12,27,0.444444444444444,0.0807193217269289,-0.154755834945889
"0700.hk",11,20,0.55,0.389608526100841,0.101580798085725
"0762.hk",7,27,0.259259259259259,-0.0030791827629066,-0.619718629504554
"0857.hk",8,33,0.242424242424242,0.0243831126400908,-0.361501174575288
"0868.hk",11,22,0.5,0.233722258566516,0.135241238635874
"0883.hk",9,27,0.333333333333333,0.0356258393167758,-0.113351873213209
"0941.hk",6,33,0.181818181818182,0.0317466838542385,-0.241254346532264
"0968.hk",4,9,0.444444444444444,0.267855026456877,0.36358647323272
"1044.hk",9,36,0.25,0.0408882370961164,-0.291389496377192
"1093.hk",7,21,0.333333333333333,0.181981026808482,0.0380364392762342
"1177.hk",11,23,0.478260869565217,0.268635912212558,0.22677706939332
"1211.hk",10,22,0.454545454545455,0.366754978388687,-0.0466505654008377
"1810.hk",1,6,0.166666666666667,0.138478443285991,-1.08730744922705
"1876.hk",0,3,0,-0.0791970738733727,-0.342888048276644
"1928.hk",4,24,0.166666666666667,-0.028902377181587,-0.763811128169379
"2018.hk",11,22,0.5,0.179590942607539,0.0300741007751392
"2020.hk",9,16,0.5625,0.26229136778465,0.0110624476307293
"2269.hk",3,4,0.75,0.827189545816997,0.650093547330516
"2313.hk",11,18,0.611111111111111,0.394513711088816,0.134067261325027
"2319.hk",8,19,0.421052631578947,0.3050770535101,-0.0823166955139377
"2331.hk",10,25,0.4,0.196725163107987,-0.50548144759262
"2382.hk",10,17,0.588235294117647,0.385624813333661,0.0474258934036873
"3690.hk",1,1,1,4.63466469446609,2.21420499146613
"6862.hk",2,4,0.5,0.210300900491445,-0.620890852506844
"9988.hk",1,1,1,0.25692463964445,0.504180072420561
"overall",468,1333,0.351087771942986,0.220379097987133,-0.103111741529705
