"","win_num","trans_num","winrate","return","ann_return"
"0005.hk",34,399,0.0852130325814536,0.00298458933426164,-0.854853058268315
"0011.hk",30,437,0.068649885583524,0.00154022916374092,-0.420368849846183
"0388.hk",55,400,0.1375,0.0151386976713417,-0.723453426812236
"0939.hk",32,307,0.104234527687296,0.00307378707437952,-1.07100741664314
"1299.hk",20,242,0.0826446280991736,-0.00258106029569185,-1.18482350107935
"1398.hk",34,284,0.119718309859155,0.00201116629742539,-0.945824859449951
"2318.hk",48,327,0.146788990825688,0.0101409733534627,-0.809002748231715
"2388.hk",34,363,0.09366391184573,0.00503399084219841,-1.11419684282036
"2628.hk",47,334,0.140718562874251,0.00770251692355127,-1.30495585433993
"3968.hk",45,291,0.154639175257732,0.00732725925102983,-1.05776343544569
"3988.hk",26,292,0.089041095890411,0.000936498143368859,-1.13714113133583
"0002.hk",11,519,0.0211946050096339,0.000542264925370092,-0.490363670273163
"0003.hk",32,452,0.0707964601769911,0.00232008540105496,-0.719960925251599
"0006.hk",13,479,0.0271398747390397,-0.000490004017452022,-0.626638480184378
"1038.hk",34,527,0.0645161290322581,-0.000685312084592734,-0.940681420610199
"0012.hk",53,418,0.126794258373206,0.00280337222700551,-1.14247398456488
"0016.hk",47,410,0.114634146341463,0.0029793433899955,-0.977613267563605
"0017.hk",55,397,0.138539042821159,0.00920524106048485,-1.13507610671655
"0101.hk",51,432,0.118055555555556,0.00174923085701583,-1.22582127301026
"0688.hk",62,410,0.151219512195122,0.00329621114824944,-1.28965394781267
"0823.hk",20,300,0.0666666666666667,0.00216234555929241,-0.66555767807038
"0960.hk",37,227,0.162995594713656,0.00508556280304778,-1.46973399457485
"1109.hk",70,431,0.162412993039443,0.00251692045450213,-2.09028466568881
"1113.hk",12,121,0.0991735537190083,0.00250653256581667,-0.790263199195111
"1997.hk",9,86,0.104651162790698,8.38376825685676e-06,-1.57637611912712
"2007.hk",42,275,0.152727272727273,0.00782341168316615,-1.99786702923737
"6098.hk",13,73,0.178082191780822,0.00618782017978433,-2.49414827188274
"0001.hk",39,413,0.0944309927360775,-0.000311168982139116,-1.00081453752704
"0027.hk",66,446,0.147982062780269,0.00844714467786521,-1.33675013064531
"0066.hk",36,463,0.0777537796976242,0.000964534466518496,-0.732833992946203
"0175.hk",66,289,0.228373702422145,0.0202405546595579,-1.22878590108877
"0241.hk",54,357,0.151260504201681,0.033161636073388,-1.42040884876005
"0267.hk",55,425,0.129411764705882,0.00559067525586585,-0.92403424480204
"0288.hk",19,153,0.124183006535948,-0.00144764256040277,-1.75685899077775
"0386.hk",49,405,0.120987654320988,0.00261319228263813,-0.98726340973885
"0669.hk",44,411,0.10705596107056,0.000210895957598609,-1.76657602836227
"0700.hk",61,384,0.158854166666667,0.00542230844327513,-1.47255082640346
"0762.hk",48,397,0.120906801007557,-0.00233623581450871,-1.75048776186098
"0857.hk",47,423,0.111111111111111,0.00382841056105232,-1.04572543756645
"0868.hk",56,337,0.166172106824926,0.00830192363925744,-1.55439616572529
"0883.hk",44,358,0.122905027932961,0.000412160908139209,-1.29554298692148
"0941.hk",40,454,0.0881057268722467,-0.000836946086764739,-1.50251909042112
"0968.hk",27,161,0.167701863354037,0.0135792781628875,-1.15303479107829
"1044.hk",53,439,0.120728929384966,0.00246458399699009,-1.33748726466768
"1093.hk",52,368,0.141304347826087,0.00540049383570548,-1.79070354242056
"1177.hk",55,385,0.142857142857143,0.00540573825646566,-1.45922032953829
"1211.hk",66,368,0.179347826086957,0.015167364376061,-2.19544601438783
"1810.hk",9,71,0.126760563380282,-0.000480399124022938,-2.52791920066579
"1876.hk",2,51,0.0392156862745098,-0.0195511590861303,-3.18486103987895
"1928.hk",31,244,0.127049180327869,-0.000275204083407815,-1.76336638655058
"2018.hk",59,319,0.184952978056426,0.00907055009510485,-1.97085802120445
"2020.hk",57,302,0.188741721854305,0.00265585901134246,-1.80444202875618
"2269.hk",19,97,0.195876288659794,0.0121616252220188,-2.29104640146763
"2313.hk",42,364,0.115384615384615,0.00496360365946473,-1.26091965837868
"2319.hk",50,380,0.131578947368421,0.00260190773523829,-1.45732033406708
"2331.hk",55,356,0.154494382022472,0.00682145059670348,-1.72254615540024
"2382.hk",61,301,0.20265780730897,0.0125948308302753,-1.38682803585243
"3690.hk",15,72,0.208333333333333,0.0132981926745793,-1.06916937248926
"6862.hk",11,73,0.150684931506849,0.00294894075540334,-2.84285655003363
"9988.hk",5,42,0.119047619047619,0.000922416419170703,-1.68008247103976
"overall",2359,19341,0.121968874411871,0.00458885957492095,-1.38215935182435
