"","win_num","trans_num","winrate","return","ann_return"
"0005.hk",17,102,0.166666666666667,-0.00358080347679836,-0.596167106553891
"0011.hk",18,108,0.166666666666667,0.00655033961120518,-0.331888970667162
"0388.hk",29,99,0.292929292929293,0.0441624147066124,-0.307273274635005
"0939.hk",15,74,0.202702702702703,0.00452579590779577,-0.321051389810046
"1299.hk",12,61,0.19672131147541,-0.00749757551032818,-1.03120187830719
"1398.hk",14,83,0.168674698795181,0.00311754345232454,-0.821551679109177
"2318.hk",25,69,0.36231884057971,0.0468523951546607,-0.238113397113197
"2388.hk",25,94,0.265957446808511,0.0352386764685857,-0.472902409379842
"2628.hk",23,75,0.306666666666667,0.0446482971518481,-0.730855353875571
"3968.hk",23,79,0.291139240506329,0.0158763326763877,-0.406486789985349
"3988.hk",16,72,0.222222222222222,0.0125664829590759,-0.414287989508051
"0002.hk",8,129,0.062015503875969,-0.00020507622331608,-0.353266941144732
"0003.hk",20,97,0.206185567010309,0.0118429379161092,-0.462604833638166
"0006.hk",12,119,0.100840336134454,-0.00130282528407327,-0.467440383037752
"1038.hk",20,120,0.166666666666667,0.00123314852488418,-0.707737776854972
"0012.hk",26,110,0.236363636363636,0.0034251914561215,-0.808565970422935
"0016.hk",29,105,0.276190476190476,0.0163772081740262,-0.664933222449125
"0017.hk",23,98,0.23469387755102,0.0268563426145526,-0.909916468756432
"0101.hk",22,106,0.207547169811321,0.00751822235352576,-0.917270929710087
"0688.hk",29,109,0.26605504587156,0.018384692908318,-1.07325700039349
"0823.hk",12,64,0.1875,0.0157692746827779,-0.508435986228971
"0960.hk",17,53,0.320754716981132,0.0132545833754565,-0.521194834114481
"1109.hk",28,115,0.243478260869565,0.0247299920975605,-1.13155083981699
"1113.hk",7,27,0.259259259259259,0.016091534435789,-0.538905044001591
"1997.hk",4,22,0.181818181818182,-0.0234350066311162,-1.56048054905782
"2007.hk",17,74,0.22972972972973,0.016920674143791,-1.30129596278638
"6098.hk",8,21,0.380952380952381,0.042744338616817,-1.33796253540478
"0001.hk",27,112,0.241071428571429,0.00624278896062287,-0.490411474648423
"0027.hk",34,97,0.350515463917526,0.0569726196811049,-0.568803062429628
"0066.hk",19,105,0.180952380952381,0.00903783329317963,-0.327045348519168
"0175.hk",25,67,0.373134328358209,0.0994137854242142,-0.114642620490878
"0241.hk",18,62,0.290322580645161,0.234275802282106,-0.331403223655143
"0267.hk",21,101,0.207920792079208,0.0127280114211769,-0.978656749275015
"0288.hk",9,35,0.257142857142857,-0.00340258461687752,-1.78672373825681
"0386.hk",22,112,0.196428571428571,0.00699171205236966,-0.827181760304583
"0669.hk",18,95,0.189473684210526,0.0106631096815139,-1.1489990568138
"0700.hk",33,83,0.397590361445783,0.0599975639504946,-0.339385419537671
"0762.hk",24,109,0.220183486238532,-0.00561847488228975,-1.22667690072722
"0857.hk",24,110,0.218181818181818,0.0127407047176979,-0.989723854743943
"0868.hk",26,84,0.30952380952381,0.0380695194682071,-0.53731140811128
"0883.hk",22,78,0.282051282051282,0.00942633489342617,-0.733577749428597
"0941.hk",22,113,0.194690265486726,-0.00139201790793998,-0.593783654919929
"0968.hk",12,31,0.387096774193548,0.0607687084955989,-0.833544671040311
"1044.hk",23,99,0.232323232323232,0.0207213817397169,-1.14158352077842
"1093.hk",22,80,0.275,0.0296652025070634,-0.564787708634889
"1177.hk",26,84,0.30952380952381,0.028180799213637,-1.15712904947218
"1211.hk",27,86,0.313953488372093,0.0383020437978002,-0.765031439727936
"1810.hk",5,15,0.333333333333333,0.0456295129821511,-0.0518077712419617
"1876.hk",1,13,0.0769230769230769,-0.0336464707470596,-1.28047870624533
"1928.hk",18,60,0.3,0.0215369178117141,-0.411236087848066
"2018.hk",24,78,0.307692307692308,0.0234349453766789,-1.50529402353855
"2020.hk",20,72,0.277777777777778,0.0348159182068885,-1.15171104882936
"2269.hk",10,23,0.434782608695652,0.0563804986330399,-1.49396587736176
"2313.hk",18,86,0.209302325581395,0.0491125399509339,-0.581750452474261
"2319.hk",21,90,0.233333333333333,0.0283968890101598,-1.20200631297615
"2331.hk",26,81,0.320987654320988,0.0528821475032498,-1.38331706406545
"2382.hk",22,70,0.314285714285714,0.0573998232769619,-0.476410702369385
"3690.hk",6,12,0.5,0.0765238492447323,-0.34276669706461
"6862.hk",3,17,0.176470588235294,-0.0160165206906393,-2.44524876095713
"9988.hk",2,13,0.153846153846154,-0.0300681375530298,-1.04133160159068
"overall",1129,4658,0.24237870330614,0.02471386482402,-0.796005450580695
