"","win_num","trans_num","winrate","return","ann_return"
"0005.hk",5,21,0.238095238095238,-0.00174987685722841,-0.0934179897315647
"0011.hk",8,24,0.333333333333333,0.0272740982470104,-0.166225946593895
"0388.hk",11,19,0.578947368421053,0.503363999432291,0.15452148088663
"0939.hk",6,18,0.333333333333333,0.0342081620560727,-0.0960115347042128
"1299.hk",7,13,0.538461538461538,0.068734044902443,-0.0991614859094714
"1398.hk",5,19,0.263157894736842,0.0119822043895951,-0.219143422006512
"2318.hk",8,17,0.470588235294118,0.125257804735562,-0.00714683222606546
"2388.hk",7,15,0.466666666666667,0.0687002571532868,-0.0694211667362304
"2628.hk",6,17,0.352941176470588,0.180995434795865,-0.096756722130116
"3968.hk",7,16,0.4375,0.0790141365253788,-0.175907654891813
"3988.hk",5,18,0.277777777777778,0.0282045570175149,-0.208559094333961
"0002.hk",6,24,0.25,0.019189499150417,-0.0470351472737548
"0003.hk",10,24,0.416666666666667,0.0445757159482967,-0.23899978269804
"0006.hk",8,23,0.347826086956522,0.00766734255075853,-0.106475944863321
"1038.hk",8,22,0.363636363636364,0.0470052072180602,-0.152221187790792
"0012.hk",8,27,0.296296296296296,0.0147548602259522,-0.431764840976025
"0016.hk",7,22,0.318181818181818,0.0323855122411914,-0.553763338876813
"0017.hk",7,18,0.388888888888889,0.14921257861925,-0.135230877534494
"0101.hk",6,23,0.260869565217391,0.0556197967536208,-0.134632345241195
"0688.hk",6,22,0.272727272727273,0.23325368759521,-0.166858326521203
"0823.hk",8,13,0.615384615384615,0.0993288131829142,-0.0161209738727544
"0960.hk",6,9,0.666666666666667,0.165692830507663,0.016911118596998
"1109.hk",12,25,0.48,0.176372794242976,-0.00663815885820324
"1113.hk",1,4,0.25,0.0275501586363482,-0.064834738369306
"1997.hk",0,1,0,-0.0594059095513502,-0.774398463794386
"2007.hk",4,16,0.25,0.14907050788546,-0.140327374419592
"6098.hk",2,3,0.666666666666667,0.447291895795035,0.3049943784711
"0001.hk",7,20,0.35,0.0027084389347602,-0.151595966414548
"0027.hk",10,27,0.37037037037037,0.200098364737424,-0.303024543521666
"0066.hk",7,16,0.4375,0.0819638094237074,-0.0984563755661717
"0175.hk",8,15,0.533333333333333,0.268324287844144,-0.0443549729550798
"0241.hk",7,16,0.4375,1.15159561427039,1.01311502361734
"0267.hk",5,20,0.25,-0.0462103206173201,-0.278139882458247
"0288.hk",3,8,0.375,0.0220702744760655,-0.150138578915284
"0386.hk",9,26,0.346153846153846,0.0747795331924068,-0.183805200134868
"0669.hk",7,18,0.388888888888889,0.0270382689978064,-0.387794392626755
"0700.hk",6,10,0.6,1.50395790095305,0.526916915479081
"0762.hk",4,20,0.2,0.0350226783544825,-0.247563853211622
"0857.hk",8,22,0.363636363636364,0.0865218919747651,-0.0115094462507212
"0868.hk",10,17,0.588235294117647,0.31489059628022,0.10267159583085
"0883.hk",6,20,0.3,0.043156917300957,-0.198063570866493
"0941.hk",6,25,0.24,0.00323039318706214,-0.339808924742807
"0968.hk",3,6,0.5,0.115998718343701,0.201847128463028
"1044.hk",5,22,0.227272727272727,0.121084054602227,-0.142383402452716
"1093.hk",6,18,0.333333333333333,0.140359629443638,-0.257634033150787
"1177.hk",8,16,0.5,0.420247821030865,0.237599811769576
"1211.hk",8,21,0.380952380952381,0.23024344436457,-0.138133281905537
"1810.hk",1,5,0.2,0.169042417531124,-1.09706253327587
"1876.hk",0,3,0,-0.0547206666756185,-0.308234118343988
"1928.hk",3,13,0.230769230769231,0.049714664438137,-0.506598360086001
"2018.hk",7,13,0.538461538461538,0.307365799855585,0.343006041893941
"2020.hk",8,12,0.666666666666667,0.361669236447996,0.0327943062410074
"2269.hk",2,3,0.666666666666667,1.37921897344566,0.461905313468325
"2313.hk",6,14,0.428571428571429,0.179297487829115,-0.0420412839183993
"2319.hk",8,16,0.5,0.339144074718711,0.0480827214798986
"2331.hk",9,18,0.5,0.325867927502265,-0.420212618628495
"2382.hk",8,11,0.727272727272727,0.442039546158933,0.662000012959161
"3690.hk",2,3,0.666666666666667,0.16947384345787,0.0957222435612724
"6862.hk",2,3,0.666666666666667,0.299626682413339,0.281338283636607
"9988.hk",0,1,0,0.00186390488730925,0.00201279669783396
"overall",363,951,0.381703470031546,0.191703938708416,-0.0837028252787856
