"","win_num","trans_num","winrate","return","ann_return"
"0005.hk",15,94,0.159574468085106,-0.00331345351608356,-0.378599646025924
"0011.hk",16,82,0.195121951219512,0.00928033379989073,-0.232589161770891
"0388.hk",22,81,0.271604938271605,0.058434771491696,-0.151249892583955
"0939.hk",15,68,0.220588235294118,0.0069823572581273,-0.238807509850032
"1299.hk",12,46,0.260869565217391,0.0054011237124093,-0.47342771670178
"1398.hk",17,64,0.265625,0.00929072764439376,-0.277804110589135
"2318.hk",24,62,0.387096774193548,0.0543685180090219,-0.91470079994889
"2388.hk",22,86,0.255813953488372,0.021829721401073,-0.202274087548309
"2628.hk",22,75,0.293333333333333,0.0404571899771093,-0.248721515944844
"3968.hk",16,75,0.213333333333333,0.0155891742306232,-0.586023557466544
"3988.hk",15,64,0.234375,0.00295712238129752,-0.500087950455615
"0002.hk",14,98,0.142857142857143,0.00305669178973176,-0.333719675341669
"0003.hk",15,87,0.172413793103448,0.0161863115221631,-0.261212703642857
"0006.hk",11,88,0.125,0.000960753005949546,-0.292893743822778
"1038.hk",15,99,0.151515151515152,0.00510050247382249,-0.439600035659058
"0012.hk",23,91,0.252747252747253,0.00253381164366225,-0.465595745431536
"0016.hk",32,90,0.355555555555556,0.0225635414541231,-0.369690518715261
"0017.hk",25,85,0.294117647058824,0.017586370534694,-0.701693746748105
"0101.hk",25,80,0.3125,0.023010010123442,-0.636785287495167
"0688.hk",25,83,0.301204819277108,0.0237205570026507,-0.739588595651794
"0823.hk",12,60,0.2,0.0146900055923652,-0.18660377280089
"0960.hk",17,53,0.320754716981132,0.0135979308926316,-0.360704271526014
"1109.hk",18,101,0.178217821782178,-0.000558833916115152,-1.30761370291029
"1113.hk",5,25,0.2,0.0167965962250361,-0.408389938887584
"1997.hk",3,20,0.15,-0.0213307946954287,-1.00964801277142
"2007.hk",13,59,0.220338983050847,0.00188310086772578,-1.17995944804707
"6098.hk",8,14,0.571428571428571,0.075032744151707,0.218994987896376
"0001.hk",17,83,0.204819277108434,-0.00396091780418896,-0.358705120774267
"0027.hk",27,92,0.293478260869565,0.0247116804392134,-0.917608311223329
"0066.hk",20,84,0.238095238095238,0.0148906022657723,-0.23855193532262
"0175.hk",24,60,0.4,0.0764797528308451,-0.121866176366054
"0241.hk",17,64,0.265625,0.148792264971617,-0.308307056525501
"0267.hk",17,72,0.236111111111111,0.026081241234595,-0.566229140652534
"0288.hk",7,32,0.21875,-0.0222753585469434,-1.24152190878605
"0386.hk",25,84,0.297619047619048,0.0178589775424351,-1.00699925383224
"0669.hk",21,80,0.2625,0.0275319302573183,-0.486330481409387
"0700.hk",23,64,0.359375,0.0508929722197763,-0.503907225148652
"0762.hk",19,91,0.208791208791209,-0.00472397974841158,-1.22725702695431
"0857.hk",23,74,0.310810810810811,0.0196953614842502,-0.339997675808331
"0868.hk",23,69,0.333333333333333,0.0365433399870646,-0.522030132041453
"0883.hk",16,78,0.205128205128205,0.000807843239849135,-0.751818286803528
"0941.hk",19,92,0.206521739130435,0.00249427246327223,-0.433862486702607
"0968.hk",9,30,0.3,0.0373564103347522,-1.11368824317362
"1044.hk",22,91,0.241758241758242,0.0172235212982958,-1.01585429792467
"1093.hk",20,74,0.27027027027027,0.0262425598969522,-0.250516983726007
"1177.hk",22,70,0.314285714285714,0.0302395677291095,-0.779685671499569
"1211.hk",27,63,0.428571428571429,0.10709950493548,-0.396653353167208
"1810.hk",4,13,0.307692307692308,0.042793400121007,0.115989195932589
"1876.hk",3,10,0.3,-0.021345622028341,-0.918350608753462
"1928.hk",18,46,0.391304347826087,0.0356613340509877,-0.09383704369923
"2018.hk",23,62,0.370967741935484,0.0346341206797697,-0.884137377046033
"2020.hk",23,61,0.377049180327869,0.0311528772961396,-0.901368927499833
"2269.hk",11,19,0.578947368421053,0.0762386937072119,-0.143740656453198
"2313.hk",20,60,0.333333333333333,0.0963141192137668,-0.859654907002354
"2319.hk",18,79,0.227848101265823,0.0200416741323204,-0.75395192838549
"2331.hk",23,71,0.323943661971831,0.0202308112929367,-1.51078747055526
"2382.hk",24,60,0.4,0.0568556848583462,-0.868619957414016
"3690.hk",8,15,0.533333333333333,0.124533797335757,-0.305162493275501
"6862.hk",4,14,0.285714285714286,0.0657153264993731,-2.19672406366178
"9988.hk",0,5,0,-0.104638326814227,-0.904538357685503
"overall",1034,3892,0.265673175745118,0.025804605373897,-0.591421092063034
