"","win_num","trans_num","winrate","return","ann_return"
"ATVI",20,23,0.869565217391304,0.275620965899798,0.597289748621774
"ADBE",20,24,0.833333333333333,0.417676027883867,0.572682900136039
"AMD",12,12,1,0.133703503861497,3.00250047343382
"ALGN",16,17,0.941176470588235,0.379393271942557,0.726116327474022
"GOOG",16,25,0.64,0.124295815956113,0.70347696935722
"AMZN",20,25,0.8,0.218546180803155,1.3701421607595
"AEP",11,21,0.523809523809524,0.0858195312575971,0.223183297719437
"AMGN",24,36,0.666666666666667,0.325551389004883,0.782153513449933
"ADI",17,19,0.894736842105263,0.322896623849529,0.931221656236634
"ANSS",24,29,0.827586206896552,0.235557780649447,1.19496025851375
"AAPL",23,29,0.793103448275862,0.213654809712492,0.501934730529427
"AMAT",13,14,0.928571428571429,0.540522797134978,0.941221707938988
"ASML",24,28,0.857142857142857,0.196149654276583,1.50090785080323
"TEAM",13,15,0.866666666666667,0.209461282215365,1.1245334389254
"ADSK",29,33,0.878787878787879,0.205451459576005,1.0220720029734
"ADP",23,34,0.676470588235294,0.155413004313853,0.467963415901656
"BIDU",10,12,0.833333333333333,0.272306879282399,0.641712678895908
"BIIB",22,28,0.785714285714286,0.185342731430368,1.73555322593464
"BKNG",8,12,0.666666666666667,0.125723942342576,0.404666385276533
"AVGO",11,13,0.846153846153846,0.295821352531362,0.56749789204147
"CDNS",13,14,0.928571428571429,0.230059633443472,1.35491738710268
"CDW",10,10,1,0.218069741444141,0.401637243263147
"CERN",22,27,0.814814814814815,0.514005827647849,0.623689493851771
"CHTR",15,18,0.833333333333333,0.123647356576525,0.897413295438865
"CHKP",7,8,0.875,0.319060641085125,3.4356153485272
"CTAS",14,18,0.777777777777778,0.307367297858381,0.538292453346807
"CSCO",10,14,0.714285714285714,0.755001903920398,1.00840132608506
"CTSH",16,20,0.8,0.345461733726725,0.533444055771233
"CMCSA",20,28,0.714285714285714,0.169040666976227,1.05039529382233
"CPRT",21,28,0.75,0.222063775905796,0.639187262987023
"COST",23,32,0.71875,0.129564381373382,0.406968601155913
"CRWD",2,2,1,1.3463821418572,1.24918757603855
