"","win_num","trans_num","winrate","return","ann_return"
"ATVI",100,636,0.157232704402516,0.00278137993694503,-1.6007301868643
"ADBE",139,787,0.176620076238882,0.00586074561462995,-1.45069880213358
"AMD",172,854,0.201405152224824,0.00841438290814272,-2.04635909967957
"ALGN",79,481,0.164241164241164,0.00687409564559304,-1.88092702976884
"GOOG",38,389,0.0976863753213368,0.00618308429091481,-0.768627210178024
"AMZN",98,577,0.169844020797227,0.00747221278388981,-2.0734368676788
"AEP",62,908,0.0682819383259912,0.00128707895160951,-0.884026860337191
"AMGN",103,842,0.122327790973872,0.00467714528678885,-1.03916385182136
"ADI",109,821,0.132764920828258,0.00178522455076431,-1.47572509087224
"ANSS",64,561,0.114081996434938,0.00143433746347751,-1.31005347073065
"AAPL",163,884,0.184389140271493,0.00718044101600324,-1.57473562270898
"AMAT",131,847,0.154663518299882,0.00205253526600233,-1.8298180110598
"ASML",96,586,0.16382252559727,0.00322874538257791,-1.43706257632424
"TEAM",29,133,0.218045112781955,0.00679920013313308,-1.4690329851293
"ADSK",148,803,0.184308841843088,0.00636038375984622,-1.58602658144959
"ADP",73,872,0.0837155963302752,0.0023886330875386,-0.819775095501194
"BIDU",60,370,0.162162162162162,0.00603445400519677,-1.31266724181597
"BIIB",106,695,0.152517985611511,0.00476441735270761,-1.51218633300489
"BKNG",82,501,0.163672654690619,0.00693069850413626,-1.52728070523842
"AVGO",43,292,0.147260273972603,0.00573603983355429,-1.07467691612912
"CDNS",104,669,0.155455904334828,0.00268734222413066,-1.55161662623267
"CDW",24,181,0.132596685082873,0.00713647975115722,-0.789613638441061
"CERN",111,715,0.155244755244755,0.00692880770957034,-0.927980042276797
"CHTR",36,263,0.136882129277567,0.0066935235820235,-0.964793064249415
"CHKP",78,594,0.131313131313131,0.00398824455106867,-1.74493166367046
"CTAS",69,711,0.0970464135021097,0.00418389474481122,-0.872194034644116
"CSCO",99,712,0.139044943820225,0.00259345758938631,-1.27499184299711
"CTSH",76,539,0.14100185528757,0.00503153831718144,-1.25568086516575
"CMCSA",89,740,0.12027027027027,0.00163830376828466,-1.20859979120587
"CPRT",87,603,0.144278606965174,0.00729671547175442,-0.910818788590568
"COST",90,788,0.114213197969543,0.00362883991886806,-1.02255171187669
"CRWD",17,66,0.257575757575758,0.0100377343328985,-1.9706674232879
"CSX",91,915,0.0994535519125683,3.74287591718937e-05,-1.13759096601687
"DXCM",75,365,0.205479452054795,0.011259565113912,-1.46156914757251
"DOCU",19,80,0.2375,0.0116853183292262,-1.50386521893871
