"","win_num","trans_num","winrate","return","ann_return"
"ATVI",52,171,0.304093567251462,0.0317667651447595,-0.805793246047443
"ADBE",60,230,0.260869565217391,0.016196370757481,-0.875541065802904
"AMD",66,220,0.3,0.0393035720802049,-1.920042334849
"ALGN",42,138,0.304347826086957,0.0296013016483187,-1.04827993762808
"GOOG",24,104,0.230769230769231,0.0252037706735733,-0.399533366913013
"AMZN",48,175,0.274285714285714,0.0264893244114998,-0.810241310299294
"AEP",39,274,0.142335766423358,0.00160639841308437,-0.51862225602904
"AMGN",58,256,0.2265625,0.0215388873208637,-0.640247689424483
"ADI",63,238,0.264705882352941,0.0104182444398472,-0.848783621573566
"ANSS",41,157,0.261146496815287,0.0165032941380151,-0.475349457448224
"AAPL",85,233,0.36480686695279,0.0349828730441598,-0.687821831993385
"AMAT",75,246,0.304878048780488,0.0256012393874709,-1.32197425547264
"ASML",54,186,0.290322580645161,0.032254067303669,-0.839931436407303
"TEAM",11,37,0.297297297297297,0.0323296661444114,-1.23988354192385
"ADSK",66,239,0.276150627615063,0.0138332533946254,-1.3568234080223
"ADP",51,260,0.196153846153846,0.00887840730368345,-0.536573738697025
"BIDU",29,99,0.292929292929293,0.0240511466790753,-1.52970600859938
"BIIB",51,174,0.293103448275862,0.0342629519720968,-0.827568420043123
"BKNG",38,137,0.277372262773723,0.0421201232673649,-0.812102714342561
"AVGO",30,77,0.38961038961039,0.0294208298535468,-0.83292680364498
"CDNS",59,197,0.299492385786802,0.0170149910759137,-1.46963015497109
"CDW",20,51,0.392156862745098,0.0243884085300834,-0.581069813574096
"CERN",53,209,0.253588516746411,0.0147173106869029,-0.516342324443168
"CHTR",20,72,0.277777777777778,0.0208313515740393,-0.39177711007949
"CHKP",37,169,0.218934911242604,0.0142756545315469,-1.36442209889358
"CTAS",39,203,0.192118226600985,0.0118167536746723,-0.650525901253946
"CSCO",51,204,0.25,0.023293299931885,-0.768710877907953
"CTSH",50,161,0.31055900621118,0.0160574835900502,-0.681492567445138
"CMCSA",44,234,0.188034188034188,0.00478959254129915,-0.754940380504094
"CPRT",38,157,0.24203821656051,0.0256256168370708,-0.61026491888005
"COST",55,233,0.236051502145923,0.0124912185564508,-0.627060033399052
"CRWD",7,14,0.5,0.0498188098394776,-1.3758422341186
"CSX",62,273,0.227106227106227,0.00878949915388359,-0.667932822975185
"DXCM",32,95,0.336842105263158,0.0418017781440281,-1.19132298796953
"DOCU",8,23,0.347826086956522,-0.00616410007166469,-2.05007489577302
"DLTR",39,160,0.24375,0.0130943472135709,-0.65752535259668
"EBAY",38,142,0.267605633802817,0.0138816739005625,-0.98669973826308
"EA",62,233,0.266094420600858,0.00635292248997242,-1.16410404365663
"EXC",52,269,0.193308550185874,0.00398801545925604,-0.631341348846084
"FB",15,67,0.223880597014925,0.0181489845324653,-0.620305672802242
"FAST",53,207,0.256038647342995,0.0173665893664683,-0.808911671021032
"FISV",45,213,0.211267605633803,0.0129223229636758,-0.511659568433197
"FOX",5,20,0.25,0.0101427525546902,-0.911445583108481
"GILD",48,215,0.223255813953488,0.00143929541974167,-0.880650854366512
"HON",49,256,0.19140625,0.00663077251815066,-0.706731392243504
"IDXX",60,190,0.315789473684211,0.0304852625827083,-0.685133127230376
"ILMN",37,137,0.27007299270073,0.0211558110582464,-1.0302454428615
"INCY",49,166,0.295180722891566,0.0220388769994382,-1.71915700003643
"INTC",77,271,0.284132841328413,0.0142635669443495,-0.802495606357373
"INTU",50,184,0.271739130434783,0.0180010289116732,-0.660760813535332
"ISRG",39,139,0.280575539568345,0.0314364929750055,-0.772587089400354
"JD",15,47,0.319148936170213,0.0188409202806956,-0.579843826589679
"KDP",16,85,0.188235294117647,0.0022864040926409,-1.22354008608191
"KLAC",47,215,0.218604651162791,0.0050899926395995,-1.42000647987018
"KHC",2,39,0.0512820512820513,-0.0140549875936992,-1.12913492039796
"LRCX",68,226,0.300884955752212,0.00909414550929867,-1.52498783004722
"LULU",27,83,0.325301204819277,0.0412969233064647,-1.2429397824
"MAR",36,138,0.260869565217391,0.0152969834184029,-0.880781918524505
"MRVL",35,133,0.263157894736842,0.0191001968763511,-0.767843725870648
"MTCH",50,195,0.256410256410256,0.0284904318205819,-0.575085806790731
"MELI",31,92,0.33695652173913,0.042776290366028,-1.48117207609374
"MCHP",45,190,0.236842105263158,0.00948425852774357,-0.998688597174879
"MU",64,222,0.288288288288288,0.0255363087669962,-1.18433851426698
"MSFT",56,231,0.242424242424242,0.0219257505815047,-0.675625946921575
"MRNA",8,20,0.4,0.0896312109999465,-2.31441498171591
"MDLZ",14,131,0.106870229007634,-0.0049568624274811,-0.613367642960372
"MNST",56,166,0.337349397590361,0.0444518784955695,-0.826428249611209
"NTES",42,133,0.315789473684211,0.0680349193674025,-1.72191618311329
"NFLX",43,124,0.346774193548387,0.0388790096281549,-0.678777629380944
"NVDA",52,148,0.351351351351351,0.0316680013532855,-1.0112831454114
"NXPI",15,67,0.223880597014925,0.0453738437083723,-0.490892220208541
"ORLY",52,193,0.269430051813472,0.0169349724195581,-0.63971252362371
"OKTA",11,28,0.392857142857143,0.0376164226035444,-0.912211281045632
"PCAR",49,222,0.220720720720721,0.00857531184501859,-0.906940850398379
"PAYX",57,202,0.282178217821782,0.015353615901176,-0.411250575031569
"PYPL",12,39,0.307692307692308,0.0206679588312712,-0.139567151982667
"PTON",5,12,0.416666666666667,0.0854656478266492,-0.920099535031902
"PEP",49,297,0.164983164983165,0.00336403494854036,-0.694050210646323
"PDD",6,22,0.272727272727273,0.040987706620645,-1.77467404231781
"QCOM",48,188,0.25531914893617,0.0176163067400288,-0.98873812881638
"REGN",63,195,0.323076923076923,0.0323257521848051,-1.49641595766198
"ROST",58,213,0.272300469483568,0.0181155564053394,-0.616547294199052
"SGEN",38,126,0.301587301587302,0.0208717001470428,-0.781068001841479
"SIRI",45,167,0.269461077844311,0.0375018441269476,-2.00976857699973
"SWKS",62,233,0.266094420600858,0.0251104612187136,-1.74675193356244
"SPLK",22,58,0.379310344827586,0.0314780016988888,-0.727124021852243
"SBUX",50,195,0.256410256410256,0.0130435163241609,-0.861795452557813
"SNPS",49,184,0.266304347826087,0.00779084406331961,-0.58024273925062
"TMUS",23,97,0.237113402061856,-0.016208057095452,-1.68065415854676
"TSLA",21,75,0.28,0.0862771787688815,-1.08318253185114
"TXN",65,271,0.239852398523985,0.00946147356605572,-1.0553099937985
"TCOM",31,113,0.274336283185841,0.0418103536449456,-0.993584223645002
"VRSN",44,141,0.312056737588652,0.0172044156233636,-0.836334195177191
"VRSK",13,76,0.171052631578947,0.0112830430073507,-0.507405752165982
"VRTX",51,184,0.277173913043478,0.0204107885853772,-0.912604823698228
"WBA",46,239,0.192468619246862,0.00737976141760767,-0.833191108476905
"WDAY",19,65,0.292307692307692,0.0198986463859673,-0.734530185867918
"XEL",32,229,0.139737991266376,0.00220694287727757,-0.495425565173344
"XLNX",52,214,0.242990654205607,0.00779506261139994,-1.24462966601691
"ZM",4,16,0.25,0.0214330182528168,-0.857024195049433
"overall",4075,15794,0.258009370647081,0.0221727677313246,-0.943608141118271
