"","win_num","trans_num","winrate","return","ann_return"
"ATVI",15,40,0.375,0.0796590700022686,-0.227532469460891
"ADBE",18,42,0.428571428571429,0.274011369530238,-0.0452828162784198
"AMD",18,55,0.327272727272727,0.171392199509171,-0.359512708215153
"ALGN",12,26,0.461538461538462,0.244505662862744,-0.312348066132252
"GOOG",11,21,0.523809523809524,0.157717884323747,0.13114715555994
"AMZN",15,33,0.454545454545455,0.337935504094418,-0.219291277064447
"AEP",16,66,0.242424242424242,0.00158013768602021,-0.220647064826886
"AMGN",21,59,0.355932203389831,0.118031994239043,-0.152511003502921
"ADI",19,53,0.358490566037736,0.0682747243380944,-0.18259270613661
"ANSS",16,37,0.432432432432432,0.0605557115890545,-0.0832203866971945
"AAPL",23,60,0.383333333333333,0.158353917694202,-0.141916490130564
"AMAT",23,53,0.433962264150943,0.146846740493398,-0.220887023160263
"ASML",17,35,0.485714285714286,0.228084928908743,0.0382155400641797
"TEAM",6,8,0.75,0.242189318851087,0.130639707854208
"ADSK",20,54,0.37037037037037,0.0473774073151119,-0.348175022479707
"ADP",19,51,0.372549019607843,0.0446343644843141,-0.164990568847996
"BIDU",9,22,0.409090909090909,0.257829098308469,-0.0959880884673136
"BIIB",12,35,0.342857142857143,0.304408893886136,-0.169919090612209
"BKNG",12,23,0.521739130434783,0.304450649126695,0.0594893983858782
"AVGO",6,17,0.352941176470588,0.104240848948879,-0.0942792049560465
"CDNS",17,40,0.425,0.135532512298128,-0.615949771410596
"CDW",5,9,0.555555555555556,0.193072045880072,0.255882440772823
"CERN",17,44,0.386363636363636,0.18701433707689,-0.241503459532906
"CHTR",10,17,0.588235294117647,0.135983248838427,0.176470149409568
"CHKP",12,32,0.375,0.353560564412514,-0.133956571367095
"CTAS",19,45,0.422222222222222,0.0548416377525409,-0.317530677471347
"CSCO",18,42,0.428571428571429,0.25113449362456,-0.0236845699233475
"CTSH",13,39,0.333333333333333,0.126447227602896,-0.54626396011423
"CMCSA",16,50,0.32,0.0466245784059955,-0.38811236760555
"CPRT",16,32,0.5,0.16820374860402,-0.0419834614208971
"COST",20,51,0.392156862745098,0.0416965129673861,-0.157320941600747
"CRWD",1,3,0.333333333333333,0.214566595597061,-0.216624708094768
"CSX",21,53,0.39622641509434,0.0709084825713917,-0.224356775019714
"DXCM",10,24,0.416666666666667,0.152425602023103,-0.0991628313763973
"DOCU",3,5,0.6,0.330314658645995,-0.861319970654248
"DLTR",19,42,0.452380952380952,0.087543305395122,-0.585425465291975
"EBAY",14,32,0.4375,0.0671839519976607,-0.255795847287206
"EA",15,42,0.357142857142857,0.10913254003156,-0.079799687401326
"EXC",18,54,0.333333333333333,0.0265698693131539,-0.473932287353354
"FB",7,12,0.583333333333333,0.204572791257791,0.0654817244039688
"FAST",18,46,0.391304347826087,0.0442228722453788,-0.376722658048868
"FISV",21,44,0.477272727272727,0.0542417592536294,-0.191471238311554
"FOX",1,5,0.2,-0.0361630425196376,-0.43778875362209
"GILD",17,43,0.395348837209302,0.0821633541598207,-0.139525299513117
"HON",24,62,0.387096774193548,0.0337069788465565,-0.168130260520594
"IDXX",17,35,0.485714285714286,0.168299085498659,-0.381410763427311
"ILMN",12,25,0.48,0.235811867158893,-0.0542746591337439
"INCY",16,40,0.4,0.0834075923129385,-0.385295478629248
"INTC",24,61,0.39344262295082,0.0897168754571977,-0.243274439051577
"INTU",15,45,0.333333333333333,0.0541943666497742,-0.263907605093071
"ISRG",12,27,0.444444444444444,0.220770830283011,-0.207331761146499
"JD",5,10,0.5,0.115106599576925,-0.178032555533565
"KDP",6,24,0.25,0.00387179713427744,-0.206009377998592
"KLAC",20,48,0.416666666666667,0.0810340290701894,-0.456158652291442
"KHC",2,8,0.25,-0.0353330865736728,-0.625174854498619
"LRCX",22,44,0.5,0.167907527762073,0.000764797490543428
"LULU",9,21,0.428571428571429,0.124497156200857,-0.0489597548167925
"MAR",12,32,0.375,0.014290768448573,-0.606836658976689
"MRVL",13,27,0.481481481481481,0.0774063206931245,-0.218383225876851
"MTCH",18,39,0.461538461538462,0.160617534776911,-0.352563861768607
"MELI",10,21,0.476190476190476,0.189347167746937,0.00665112047704602
"MCHP",17,43,0.395348837209302,0.0669535587202707,-0.148120873188835
"MU",18,36,0.5,0.3116744394801,0.0506389424398539
