"","win_num","trans_num","winrate","return","ann_return"
"ATVI",88,637,0.138147566718995,0.00377449086449613,-1.83344111249271
"ADBE",117,776,0.150773195876289,0.00394667059151245,-2.14446752586651
"AMD",150,774,0.193798449612403,0.0086490939223921,-2.3478796572598
"ALGN",75,456,0.164473684210526,0.00777616670595313,-2.65240152636474
"GOOG",45,335,0.134328358208955,0.00992968669059874,-0.804908273727812
"AMZN",85,501,0.169660678642715,0.0149767542025846,-1.74604257157478
"AEP",51,856,0.0595794392523364,-0.000178033289806699,-0.91174906642317
"AMGN",93,808,0.11509900990099,0.00613227887088894,-1.34931476156017
"ADI",104,802,0.129675810473815,-0.000282732496321776,-1.91921946054321
"ANSS",70,554,0.126353790613718,0.0022249479503265,-1.41623106391395
"AAPL",128,810,0.158024691358025,0.00899494224748935,-1.65145615783598
"AMAT",128,785,0.163057324840764,0.00379163328930392,-1.72219681307549
"ASML",94,544,0.172794117647059,0.00595816411402411,-1.58047882517481
"TEAM",26,122,0.213114754098361,0.0100275769624992,-0.758150893674921
"ADSK",127,754,0.168435013262599,0.00762090125783316,-1.84751998319104
"ADP",70,861,0.0813008130081301,0.000674569866167271,-1.08655198746735
"BIDU",57,348,0.163793103448276,0.00597807589639645,-1.79714675422699
"BIIB",103,644,0.159937888198758,0.00673607508382536,-1.73174029191087
"BKNG",68,480,0.141666666666667,0.00518259060406259,-2.03651414396297
"AVGO",36,273,0.131868131868132,0.00475127257574521,-1.44533066683619
"CDNS",101,642,0.157320872274143,0.00289246151802992,-1.87492584799992
"CDW",23,199,0.115577889447236,0.00498350091523107,-1.22012047307512
"CERN",104,678,0.153392330383481,0.00775590003928765,-1.35702706953184
"CHTR",32,249,0.1285140562249,0.00487441278641988,-1.04089697581565
"CHKP",70,560,0.125,0.00243375638795198,-1.95003924656158
"CTAS",66,715,0.0923076923076923,0.00134706412916306,-1.30149269348715
"CSCO",95,680,0.139705882352941,0.00424889798982897,-1.63432094087634
"CTSH",70,542,0.129151291512915,0.00399123300011107,-1.53788047945298
"CMCSA",76,696,0.109195402298851,0.000227998117572447,-1.45492356966662
"CPRT",81,584,0.138698630136986,0.0058413560636477,-1.21653215127757
"COST",77,766,0.100522193211488,0.00300222636814057,-1.16529828075997
"CRWD",15,44,0.340909090909091,0.0263559612754936,-1.27922357578304
"CSX",93,863,0.107763615295481,0.000646081600102754,-1.35054524628249
"DXCM",76,363,0.209366391184573,0.0111036271321663,-2.58734347896476
"DOCU",12,79,0.151898734177215,0.0132471732149183,-2.31283846548664
"DLTR",78,588,0.13265306122449,0.00504733577163178,-1.53398279727625
"EBAY",73,487,0.149897330595483,0.0105549752903067,-1.36801644620405
"EA",98,738,0.132791327913279,-0.000502886207986572,-2.0660253066872
"EXC",66,853,0.0773739742086753,0.000867302396867771,-1.00443639705019
"FB",25,211,0.118483412322275,0.000909324195812108,-1.63771368435149
"FAST",88,667,0.131934032983508,0.00351451568850969,-1.62711145686026
"FISV",60,746,0.0804289544235925,7.00242339574185e-05,-1.48165257974495
"FOX",6,56,0.107142857142857,-0.000428938369091777,-1.72801467380798
"GILD",93,665,0.13984962406015,0.00478345091430482,-1.8200508558939
"HON",79,874,0.0903890160183066,-0.000155382492987529,-1.15507050518961
"IDXX",102,646,0.157894736842105,0.00736300180181747,-1.46135064505779
"ILMN",86,437,0.196796338672769,0.0146992617124033,-2.37459141741603
"INCY",95,597,0.159128978224456,0.00996462959622584,-3.30367303158353
"INTC",117,929,0.125941872981701,0.000862313837345961,-1.64642907140841
"INTU",81,634,0.127760252365931,0.00552012587274209,-1.46444964287006
"ISRG",70,476,0.147058823529412,0.0111130611025042,-1.46603076671697
"JD",24,170,0.141176470588235,-0.00198437342497711,-2.11722731683519
"KDP",16,309,0.0517799352750809,0.000108806631616686,-1.15295591911846
"KLAC",102,706,0.144475920679887,0.000724171978113008,-1.95224858622465
"KHC",10,143,0.0699300699300699,-0.000864293371546996,-1.21602292416461
"LRCX",118,693,0.17027417027417,0.00328829344099816,-2.40680340895395
"LULU",48,289,0.166089965397924,0.01160374710348,-1.61852243142202
"MAR",56,513,0.10916179337232,0.00232265352315912,-1.65896891264626
"MRVL",70,463,0.151187904967603,0.00515141088263933,-2.14779229982528
"MTCH",101,611,0.165302782324059,0.00753832667123236,-2.08235998465432
"MELI",48,307,0.156351791530945,0.00712617731081529,-2.44188733699489
"MCHP",88,621,0.14170692431562,0.0013675138641216,-2.06957940125616
"MU",114,661,0.172465960665658,0.00392678621210863,-2.61269296737023
"MSFT",87,777,0.111969111969112,0.00453392078430756,-1.10134098333739
"MRNA",16,50,0.32,0.0567594956746578,-3.83586855255533
"MDLZ",30,462,0.0649350649350649,0.000542183603218264,-0.902909974901297
"MNST",115,680,0.169117647058824,0.0106908889046974,-1.142520773657
"NTES",77,411,0.187347931873479,0.0149343532756966,-2.2298895706291
"NFLX",76,402,0.189054726368159,0.0110858815812841,-1.77018269792925
"NVDA",90,461,0.195227765726681,0.0142373182221634,-1.8583949380924
"NXPI",31,249,0.124497991967871,0.00204365847393768,-1.60198658983025
"ORLY",80,589,0.135823429541596,0.00867204767692158,-0.938192347911145
"OKTA",24,98,0.244897959183673,0.0141989302907321,-1.19825767513688
"PCAR",87,747,0.116465863453815,0.00319479065636951,-1.61003489039085
"PAYX",79,711,0.111111111111111,0.00350407533704612,-1.11930065805406
"PYPL",19,132,0.143939393939394,0.00447536204672774,-1.31966924777211
"PTON",11,56,0.196428571428571,0.0104742732709093,-4.70743132509256
"PEP",58,947,0.0612460401267159,-0.00100123484083735,-1.04582320318581
"PDD",13,67,0.194029850746269,0.0116772851636997,-2.26804410253787
"QCOM",101,644,0.156832298136646,0.00540625513991914,-2.183391678289
"REGN",105,661,0.158850226928896,0.00914198375496274,-2.32390043705419
"ROST",99,787,0.12579415501906,0.00353017793854189,-1.4363590280711
"SGEN",69,432,0.159722222222222,0.00635471312058735,-2.20834604457085
"SIRI",92,532,0.172932330827068,0.0176307807174493,-2.21810803032779
"SWKS",129,757,0.170409511228534,0.00458726432880637,-2.30000309210644
"SPLK",35,202,0.173267326732673,0.0070420874784155,-1.72523627744013
"SBUX",72,654,0.110091743119266,0.00311245293923061,-1.32664014899871
"SNPS",77,657,0.117199391171994,0.000422808557979208,-1.806976865409
"TMUS",35,321,0.109034267912773,0.00214131804599042,-1.51039446772108
"TSLA",48,237,0.20253164556962,0.0199713671145124,-1.47768065471877
"TXN",109,874,0.124713958810069,0.0016763559813766,-1.55720016508569
"TCOM",62,370,0.167567567567568,0.00406521132276037,-1.88219094335287
"VRSN",79,509,0.155206286836935,0.00847195096206576,-1.74250650541248
"VRSK",17,277,0.0613718411552347,0.00366249221122937,-0.877315747359904
"VRTX",118,656,0.179878048780488,0.007420602084622,-2.15904920826787
"WBA",82,812,0.100985221674877,0.00175395377673163,-1.31747378185792
"WDAY",29,188,0.154255319148936,0.00445790105140763,-1.63989271600496
"XEL",43,772,0.055699481865285,0.00187801908592894,-0.754134599331986
"XLNX",89,687,0.129548762736536,-0.00184706034131705,-2.53846516736565
"ZM",12,51,0.235294117647059,0.0195941067440728,-2.43527639071273
"overall",7113,52789,0.134743980753566,0.00624606084750964,-1.72752200280162
