"","win_num","trans_num","winrate","return","ann_return"
"ATVI",42,150,0.28,0.0489430446140256,-0.959131305479321
"ADBE",43,167,0.25748502994012,0.0237280943601104,-1.25674878347635
"AMD",57,165,0.345454545454545,0.041276766510812,-1.26749394778318
"ALGN",32,97,0.329896907216495,0.0587586156641848,-1.96157613933203
"GOOG",24,88,0.272727272727273,0.030135691733338,-0.27479797846966
"AMZN",46,119,0.38655462184874,0.0659182661850233,-0.201337564307122
"AEP",31,216,0.143518518518519,0.00148426672178503,-0.597261486765593
"AMGN",54,178,0.303370786516854,0.0486183557813288,-0.563919246247479
"ADI",49,199,0.246231155778894,0.00660173163986884,-1.09328527272077
"ANSS",33,136,0.242647058823529,0.0230396386785341,-0.730688019007944
"AAPL",65,171,0.380116959064327,0.0623331053067702,-0.919311282699463
"AMAT",56,187,0.299465240641711,0.0342762774910576,-0.928670285910697
"ASML",41,133,0.308270676691729,0.0415488165622163,-0.756129392660896
"TEAM",10,29,0.344827586206897,0.0409945915293386,-0.429015813442974
"ADSK",48,173,0.277456647398844,0.0219732580702303,-0.821463563961958
"ADP",40,199,0.201005025125628,0.00883773587477789,-0.634596739458597
"BIDU",24,75,0.32,0.0411525112093944,-0.776441043227124
"BIIB",39,140,0.278571428571429,0.0371264020875327,-0.654569519225796
"BKNG",29,102,0.284313725490196,0.0144518481094413,-0.936407780123
"AVGO",24,68,0.352941176470588,0.0295184715090773,-0.833781020014219
"CDNS",46,168,0.273809523809524,0.011212588612732,-1.60822962382904
"CDW",16,45,0.355555555555556,0.0357132502511726,-0.939794994512429
"CERN",44,166,0.265060240963855,0.0379365760731755,-0.356243387406269
"CHTR",19,58,0.327586206896552,0.0147544750325164,-0.454844373037397
"CHKP",32,134,0.238805970149254,0.0284608241895145,-0.943346453570444
"CTAS",34,178,0.191011235955056,0.0142661561928934,-0.615049813848106
"CSCO",45,172,0.261627906976744,0.0364584905221853,-0.886818553918664
"CTSH",36,127,0.283464566929134,0.0343347423840001,-1.09464764571574
"CMCSA",39,174,0.224137931034483,0.00838121272443521,-0.709295681965687
"CPRT",34,125,0.272,0.0281749987847938,-0.53926352167694
"COST",40,180,0.222222222222222,0.00965434462568414,-0.584850149278144
"CRWD",5,10,0.5,-0.0225206606357743,0.0296340107441584
"CSX",55,219,0.251141552511416,0.0101221244138451,-0.466411515445633
"DXCM",30,76,0.394736842105263,0.0474798150164277,-1.53905318450053
"DOCU",7,18,0.388888888888889,0.111983331177457,-1.49658372415379
"DLTR",38,145,0.262068965517241,0.0205510675049341,-0.959389280787674
"EBAY",30,110,0.272727272727273,0.0152759312454553,-1.08970520555526
"EA",48,163,0.294478527607362,0.0201441995177321,-1.46774233787306
"EXC",41,220,0.186363636363636,0.00447907772185095,-0.678093521651791
"FB",15,46,0.326086956521739,0.0192129183142059,-0.747527234430765
"FAST",49,154,0.318181818181818,0.0274400990048856,-0.733636608171308
"FISV",40,170,0.235294117647059,0.0200636490929042,-0.546894399487293
"FOX",3,11,0.272727272727273,0.00812830956948465,-0.39959421152218
"GILD",35,171,0.204678362573099,0.0131495977153447,-1.08259378789313
"HON",47,215,0.218604651162791,0.0101998744474892,-1.01738438099731
"IDXX",51,147,0.346938775510204,0.0228066994388103,-0.750019083344882
"ILMN",33,104,0.317307692307692,0.0379851349284332,-1.44129584805455
"INCY",41,132,0.310606060606061,0.0579248050325768,-1.74994880751188
"INTC",46,205,0.224390243902439,0.0105348616016888,-0.975253757003783
"INTU",32,150,0.213333333333333,0.0290268568458376,-0.942568529523455
"ISRG",37,110,0.336363636363636,0.054903057651338,-0.421340245116239
"JD",12,35,0.342857142857143,0.0273237896894767,-0.347915565516931
"KDP",15,75,0.2,0.00335171379364576,-0.875595920408579
"KLAC",44,169,0.260355029585799,0.0109551294536022,-0.954004530091471
"KHC",3,36,0.0833333333333333,-0.0100664139977698,-0.641342071192168
