"","win_num","trans_num","winrate","return","ann_return"
"ATVI",15,29,0.517241379310345,0.16130960050423,-0.0483230560773402
"ADBE",16,33,0.484848484848485,0.159541793820738,-0.288918585460774
"AMD",14,38,0.368421052631579,0.206771586719679,-0.249378626468902
"ALGN",9,20,0.45,0.418081550468691,-0.0082422007880553
"GOOG",10,16,0.625,0.201582239562787,0.134138324064111
"AMZN",15,26,0.576923076923077,0.287607973257196,0.257053892063934
"AEP",13,46,0.282608695652174,0.0159233858453221,-0.072940866705541
"AMGN",17,41,0.414634146341463,0.185704131613136,0.00145426960614755
"ADI",17,38,0.447368421052632,0.210169810933711,-0.0258047686239006
"ANSS",12,21,0.571428571428571,0.195164357406172,0.0829211904157146
"AAPL",19,40,0.475,0.217404915202737,0.00586270092809219
"AMAT",18,35,0.514285714285714,0.137535843932553,-0.282721840039288
"ASML",13,21,0.619047619047619,0.364257596591507,0.0890644095633107
"TEAM",3,3,1,0.796871360674773,0.569192990888606
"ADSK",15,37,0.405405405405405,0.0818769074727205,-0.0670277072501903
"ADP",18,43,0.418604651162791,0.05984893543712,-0.113560096539807
"BIDU",7,16,0.4375,0.190419065520777,-0.20451331065522
"BIIB",18,32,0.5625,0.410813269583931,0.125311882261376
"BKNG",11,21,0.523809523809524,0.273847908833069,-0.0876495425305345
"AVGO",4,11,0.363636363636364,0.159587662803792,-0.191401608191786
"CDNS",9,31,0.290322580645161,0.0564430914110377,-0.264809975972279
"CDW",5,9,0.555555555555556,0.149780765317413,0.175194775101843
"CERN",12,28,0.428571428571429,0.224981483973951,0.036094150869561
"CHTR",6,10,0.6,0.121999230399626,0.0202275129201738
"CHKP",8,25,0.32,0.533907055563018,-0.187943411716438
"CTAS",15,36,0.416666666666667,0.0521823066589983,-0.338982166596628
"CSCO",13,32,0.40625,0.158705231708386,-0.0402180125963639
"CTSH",10,26,0.384615384615385,0.153011814631092,-0.374763803824356
"CMCSA",14,36,0.388888888888889,0.0848307191774514,-0.297623204140171
"CPRT",13,27,0.481481481481481,0.229584444518956,0.123672441641058
"COST",12,38,0.315789473684211,0.0514136918950504,-0.334406588659624
"CRWD",1,2,0.5,0.508028771444372,0.88855026799722
"CSX",15,35,0.428571428571429,0.127349976941827,-0.0572488657368737
"DXCM",7,19,0.368421052631579,0.220475260054772,-0.22707993090871
"DOCU",3,3,1,1.04963831495039,0.924107182792846
"DLTR",10,29,0.344827586206897,0.0726812105061775,-0.0906855174058939
"EBAY",11,26,0.423076923076923,0.0724078987913077,0.0372167223903214
"EA",15,36,0.416666666666667,0.0936825383466467,-0.135800291803058
"EXC",12,38,0.315789473684211,0.047396573196712,-0.0999723811591284
"FB",5,10,0.5,0.105092528114451,0.144407265496626
"FAST",12,30,0.4,0.0809282751201911,-0.454188932381011
"FISV",15,31,0.483870967741935,0.114174959506117,-0.0334801607587085
"FOX",1,4,0.25,-0.0308922520654649,-0.985527240601413
"GILD",13,29,0.448275862068966,0.11240887131795,-0.184060131077275
"HON",21,45,0.466666666666667,0.0621681113185259,-0.0185679470182175
"IDXX",15,32,0.46875,0.124196853456191,-0.403212829444216
"ILMN",10,19,0.526315789473684,0.303643059238605,-0.212595860592504
"INCY",12,32,0.375,0.0967846222409123,-0.0977815988510385
"INTC",17,46,0.369565217391304,0.0607514637606958,-0.31030399046549
"INTU",14,30,0.466666666666667,0.0703851186382613,-0.2004602893584
"ISRG",10,17,0.588235294117647,0.453190764945221,0.0497147228538934
"JD",4,8,0.5,0.111465898364747,-0.141133123669756
"KDP",7,18,0.388888888888889,0.0220651544338063,-0.128235347256414
"KLAC",11,32,0.34375,0.0822587682831627,-0.332939520219641
"KHC",2,8,0.25,-0.0395474641048143,-0.450463731557984
"LRCX",17,32,0.53125,0.243774261141825,-0.0585776578180108
"LULU",7,14,0.5,0.248077272761441,0.122514338390324
"MAR",10,25,0.4,0.0398840750076449,-0.315163373513953
"MRVL",12,24,0.5,0.087267920308278,0.0592264436086178
"MTCH",14,29,0.482758620689655,0.163342782468906,-0.224596984080438
"MELI",7,16,0.4375,0.19983881540048,0.0334158669101393
"MCHP",14,34,0.411764705882353,0.0416979422071897,-0.149790797681725
"MU",17,30,0.566666666666667,0.371282689534972,0.249580863510032
"MSFT",13,30,0.433333333333333,0.327509673679791,-0.208144153602329
"MRNA",2,3,0.666666666666667,2.35486683610784,1.27678559230175
"MDLZ",5,24,0.208333333333333,0.010020276933353,-0.166959548861961
"MNST",10,25,0.4,0.71035654506989,0.08541366200408
"NTES",11,20,0.55,2.24378289005191,1.04232098357009
"NFLX",8,16,0.5,0.681829025789882,-0.31772374770947
"NVDA",12,18,0.666666666666667,0.771214284361395,0.531130116386309
"NXPI",7,10,0.7,0.178601210920522,0.0270809235324882
"ORLY",12,30,0.4,0.0839464270113215,-0.119196505396863
"OKTA",2,5,0.4,0.500503246825736,-0.00813803412187794
"PCAR",14,38,0.368421052631579,0.0413665349173409,-0.897018203382852
"PAYX",12,30,0.4,0.179056446576299,-0.0249408420417258
"PYPL",3,3,1,0.858445838226166,0.57761660546754
"PTON",1,2,0.5,1.45061560033185,1.24350571523446
"PEP",16,45,0.355555555555556,0.0526087300129343,-0.12452870770295
"PDD",2,3,0.666666666666667,0.820131986478987,0.877675446330508
"QCOM",12,33,0.363636363636364,0.596568187329805,0.052789365037255
"REGN",15,31,0.483870967741935,0.178916832425125,-0.00612844688442591
"ROST",16,33,0.484848484848485,0.165008635405486,0.0352145599571698
