"","win_num","trans_num","winrate","return","ann_return"
"ATVI",35,130,0.269230769230769,0.0134753543499603,-1.01068424698915
"ADBE",37,153,0.241830065359477,0.00555165675066785,-0.890003604315458
"AMD",49,149,0.328859060402685,0.0603295513168377,-0.877695543109879
"ALGN",32,88,0.363636363636364,0.0421116759136056,-1.88295055542408
"GOOG",21,70,0.3,0.0444803534533381,-0.29526531781711
"AMZN",41,109,0.376146788990826,0.0675311458101568,-0.483380897884299
"AEP",32,159,0.20125786163522,0.00127555196024924,-0.433802858812648
"AMGN",53,167,0.317365269461078,0.0390385704708446,-0.236140999581878
"ADI",51,169,0.301775147928994,0.0138291805055668,-0.95351073659892
"ANSS",27,113,0.238938053097345,0.0101761844230016,-0.81020121406971
"AAPL",63,164,0.384146341463415,0.0396454334717909,-0.645685487093209
"AMAT",45,154,0.292207792207792,0.0317270245054862,-0.735954377272385
"ASML",35,108,0.324074074074074,0.0436785984028461,-0.599684842707232
"TEAM",8,23,0.347826086956522,0.0761533462248289,-0.285220416287663
"ADSK",51,146,0.349315068493151,0.0260991890195366,-0.445192961430552
"ADP",33,167,0.197604790419162,0.0103352976689826,-0.45565894127353
"BIDU",21,64,0.328125,0.0340650657628243,-0.569564862538204
"BIIB",37,120,0.308333333333333,0.0282301438211793,-0.943948253864928
"BKNG",28,95,0.294736842105263,0.0260963547023012,-0.79723911997109
"AVGO",22,56,0.392857142857143,0.0405084529819613,-1.1036934859141
"CDNS",37,137,0.27007299270073,0.0226188021336545,-0.832363020518353
"CDW",14,38,0.368421052631579,0.0453840585964977,-0.134667310553958
"CERN",43,140,0.307142857142857,0.0257084058144595,-0.794781731192083
"CHTR",19,52,0.365384615384615,0.0325373252712289,-0.153346898711602
"CHKP",29,110,0.263636363636364,0.0342505844561923,-0.518216432260685
"CTAS",34,135,0.251851851851852,0.0253693442866551,-0.337302120285508
"CSCO",39,134,0.291044776119403,0.0434040462226976,-0.606265165806534
"CTSH",27,104,0.259615384615385,0.028595719165821,-0.423143946100885
"CMCSA",30,132,0.227272727272727,0.00301170403933215,-0.574852879390741
"CPRT",33,113,0.292035398230089,0.015425858375947,-1.10292184906892
"COST",45,160,0.28125,0.011890852009557,-0.472757325229812
"CRWD",5,8,0.625,0.196611994038264,-0.159704176789994
"CSX",56,186,0.301075268817204,0.0189665272496555,-0.438970745639583
"DXCM",29,70,0.414285714285714,0.0605031165722591,-1.15546428555611
"DOCU",4,15,0.266666666666667,0.00665027363048896,-0.318996120767259
"DLTR",40,109,0.36697247706422,0.0280441927033868,-0.373005362913472
"EBAY",27,84,0.321428571428571,0.0324166719985757,-0.56293751801194
"EA",38,133,0.285714285714286,0.0177577902238666,-0.66380314541231
"EXC",37,169,0.218934911242604,0.00812930037162651,-0.469601519212511
"FB",15,40,0.375,0.029491559514642,-0.384795782818461
"FAST",41,142,0.288732394366197,0.0172415102140067,-0.70603974065732
"FISV",38,139,0.273381294964029,0.0126342623822661,-0.763878469340654
"FOX",3,10,0.3,0.0242504126712515,-0.896020190212854
"GILD",39,127,0.307086614173228,0.00964077527332127,-0.463183444761855
"HON",43,174,0.247126436781609,0.0166216810201814,-0.590735084754363
"IDXX",45,115,0.391304347826087,0.0412033855061738,-0.495798027795125
"ILMN",22,88,0.25,0.018143723845768,-1.15104105856168
"INCY",45,116,0.387931034482759,0.0765188120930457,-0.894589997972305
"INTC",48,176,0.272727272727273,0.0201496877001485,-0.831162985381833
"INTU",39,134,0.291044776119403,0.0232736628421664,-0.999405782159968
"ISRG",30,86,0.348837209302326,0.0410774429769413,-0.659589744358757
"JD",14,34,0.411764705882353,0.0166107685379218,-1.10837991706572
"KDP",16,54,0.296296296296296,0.0209079501168399,-1.25990274721899
"KLAC",47,139,0.338129496402878,0.0228918788174953,-0.890549743214692
"KHC",3,25,0.12,-0.00827799045875924,-0.876801473493311
"LRCX",49,135,0.362962962962963,0.0447137178701499,-1.07673102299526
"LULU",26,64,0.40625,0.0611448809470822,-1.00273913054157
"MAR",25,88,0.284090909090909,0.0126494302516115,-0.782084585232761
"MRVL",27,95,0.284210526315789,0.0303410446677459,-0.478351570310058
"MTCH",37,128,0.2890625,0.0631450642797171,-1.07162323111884
"MELI",20,59,0.338983050847458,0.0377878771177264,-1.04643903111241
"MCHP",36,127,0.283464566929134,0.0058482132777828,-1.01641156152
"MU",48,129,0.372093023255814,0.0681606129752926,-0.475934414716068
"MSFT",46,141,0.326241134751773,0.0424701166881983,-0.558863865213479
"MRNA",9,9,1,0.434995494510223,2.51652268767125
"MDLZ",16,80,0.2,0.0109355544112628,-0.290027086031337
"MNST",46,121,0.380165289256198,0.0691352079367291,-0.57551206783674
"NTES",30,78,0.384615384615385,0.142602534234229,-0.779340504106922
"NFLX",36,84,0.428571428571429,0.0541656987248104,-0.895956906304236
"NVDA",38,100,0.38,0.0671173638190425,-0.618725167555325
"NXPI",15,53,0.283018867924528,0.0341149337238294,-0.537351298713249
"ORLY",41,124,0.330645161290323,0.0175762880597832,-0.685786124290442
"OKTA",9,20,0.45,0.0727986540548422,-0.375329526486268
"PCAR",37,156,0.237179487179487,0.0086674255734948,-0.727146416858955
"PAYX",38,132,0.287878787878788,0.0158951247016459,-0.51963200662294
"PYPL",7,32,0.21875,0.00879835031097664,-0.185501654393548
"PTON",6,9,0.666666666666667,0.126681450838528,-0.110520173628915
"PEP",38,177,0.214689265536723,0.0138606503555323,-0.349944764775935
"PDD",6,15,0.4,0.145559421423594,-0.528601871352074
"QCOM",36,119,0.302521008403361,0.0695363134679464,-0.431646023505695
"REGN",44,133,0.330827067669173,0.0602547733887079,-1.2313258990978
"ROST",45,145,0.310344827586207,0.0241797128187953,-0.893765210643506
"SGEN",28,78,0.358974358974359,0.0610998708020527,-0.485648240779707
"SIRI",38,113,0.336283185840708,0.0710675361530531,-0.682929127843246
"SWKS",43,134,0.32089552238806,0.0428758872499439,-0.66677259682141
"SPLK",17,36,0.472222222222222,0.066233731721824,-0.234017411046722
"SBUX",40,120,0.333333333333333,0.0232721300671477,-0.254645743762511
"SNPS",42,133,0.315789473684211,0.0120613599030597,-0.658972281689687
"TMUS",16,66,0.242424242424242,-0.00477057794503523,-1.26258887943775
"TSLA",12,39,0.307692307692308,0.168605112781835,-0.214903733831885
"TXN",59,183,0.322404371584699,0.0261083791033192,-0.745165144951841
"TCOM",29,66,0.439393939393939,0.0669617772497023,-0.519516055503951
"VRSN",36,94,0.382978723404255,0.0689061503964019,-0.596664287168502
"VRSK",11,48,0.229166666666667,0.0248667377607282,-0.305998766029772
"VRTX",43,138,0.311594202898551,0.0195903103726299,-0.917247792378936
"WBA",36,146,0.246575342465753,0.00897479035774345,-0.514132650030064
"WDAY",13,36,0.361111111111111,0.029123281104834,-0.656340235547212
"XEL",24,139,0.172661870503597,0.00702112662032848,-0.383503213299567
"XLNX",42,144,0.291666666666667,0.022883360096508,-0.845786585880351
"ZM",2,9,0.222222222222222,0.0248520271206356,-2.16458688324757
"overall",3137,10307,0.304356262734064,0.0417686312307553,-0.643586425226899
