"","win_num","trans_num","winrate","return","ann_return"
"MMM",31,45,0.688888888888889,0.0953413511755021,0.555318777008584
"AOS",19,22,0.863636363636364,0.202392237853788,0.536911419554767
"ABT",28,34,0.823529411764706,0.137252620246697,0.875321839222415
"ABBV",6,14,0.428571428571429,0.0877620620361507,1.04141985488882
"ABMD",8,8,1,0.744158612022655,0.885635305634381
"ACN",24,43,0.558139534883721,0.0862701756607909,0.823867161959545
"ATVI",20,23,0.869565217391304,0.275620965899798,0.597289748621774
"ADM",13,16,0.8125,0.196733371473575,0.276560568710102
"ADBE",20,24,0.833333333333333,0.417676027883867,0.572682900136039
"AAP",11,13,0.846153846153846,0.177292000696572,0.536687899491991
"AMD",12,12,1,0.133703503861497,3.00250047343382
"AES",9,9,1,0.303509078982415,1.34554700495231
"AFL",26,35,0.742857142857143,0.150840793645303,0.581573249411958
"A",2,2,1,0.37438793700628,0.45717011861653
"APD",26,33,0.787878787878788,0.152412180553418,0.451439547494075
"AKAM",0,0,0,0,0
"ALK",10,13,0.769230769230769,0.260666646753334,0.389182547834921
"ALB",16,17,0.941176470588235,0.206590747116428,0.500285873248111
"ARE",12,21,0.571428571428571,0.11866028173454,0.572831450876508
"ALGN",16,17,0.941176470588235,0.379393271942557,0.726116327474022
"ALLE",7,9,0.777777777777778,0.115308870888417,0.559383758858656
"LNT",11,15,0.733333333333333,0.116373874891255,0.191690059064793
"ALL",11,19,0.578947368421053,0.116150218408472,0.398034959526894
"GOOGL",10,17,0.588235294117647,0.138438623695237,0.488615244651582
"GOOG",16,25,0.64,0.124295815956113,0.70347696935722
"MO",20,29,0.689655172413793,0.113135688920323,0.305940067709225
"AMZN",20,25,0.8,0.218546180803155,1.3701421607595
"AMCR",0,1,0,0.0333333333333334,0.0265647743813683
"AEE",9,23,0.391304347826087,0.051409596836182,0.431351594848755
"AAL",4,5,0.8,0.140010447388238,1.00109058565462
"AEP",11,21,0.523809523809524,0.0858195312575971,0.223183297719437
"AXP",16,27,0.592592592592593,0.163045132661452,0.444920527203805
"AIG",20,21,0.952380952380952,0.189328430700492,0.628923317935794
"AMT",14,18,0.777777777777778,0.151549011484371,0.381393833333673
"AWK",15,19,0.789473684210526,0.116281809423689,0.481195544102171
"AMP",13,15,0.866666666666667,0.122842106347118,0.840287564953601
"ABC",22,24,0.916666666666667,0.144817409904791,1.38780182682716
"AME",26,29,0.896551724137931,0.152851223219334,0.458864665803455
"AMGN",24,36,0.666666666666667,0.325551389004883,0.782153513449933
"APH",25,29,0.862068965517241,0.254950743987326,0.518612739504164
"ADI",17,19,0.894736842105263,0.322896623849529,0.931221656236634
"ANSS",24,29,0.827586206896552,0.235557780649447,1.19496025851375
"ANTM",18,28,0.642857142857143,0.108260260270711,0.516396399537432
"AON",24,38,0.631578947368421,0.0932952889268126,0.808151837910226
"APA",16,18,0.888888888888889,0.227237936625276,0.701961963625886
"AAPL",23,29,0.793103448275862,0.213654809712492,0.501934730529427
"AMAT",13,14,0.928571428571429,0.540522797134978,0.941221707938988
"APTV",5,7,0.714285714285714,0.135610591465367,0.414610032206387
"ANET",5,6,0.833333333333333,0.363949851906794,0.594951300970956
"AJG",14,22,0.636363636363636,0.15326806448614,0.36208998648324
"AIZ",15,20,0.75,0.099567430692977,1.36813293814177
"T",14,22,0.636363636363636,0.118303733703586,0.720829582777607
"ATO",15,22,0.681818181818182,0.1801463984742,0.847623585236007
"ADSK",29,33,0.878787878787879,0.205451459576005,1.0220720029734
"ADP",23,34,0.676470588235294,0.155413004313853,0.467963415901656
"AZO",23,31,0.741935483870968,0.130004525019435,0.795179509209025
"AVB",14,20,0.7,0.120740292432341,0.400360281100533
"AVY",15,21,0.714285714285714,0.123936508168095,0.249780046835883
"BKR",13,15,0.866666666666667,0.0859352426199797,1.03086148270114
"BLL",23,27,0.851851851851852,0.13506361794786,0.447943859195858
"BAC",10,18,0.555555555555556,0.0961230967216665,0.801243014367243
"BBWI",12,17,0.705882352941177,0.184988690790717,0.461001023521005
"BAX",20,29,0.689655172413793,0.136582971515702,0.430568352324207
"BDX",18,29,0.620689655172414,0.142873511022089,0.467301486532345
"BRK-B",14,20,0.7,0.117216682568606,0.496765361563505
"BBY",23,27,0.851851851851852,0.175179893387831,0.952767305935454
"BIO",22,32,0.6875,0.217029703749856,0.791816752292529
"TECH",15,18,0.833333333333333,0.282549985499703,0.920673724810215
"BIIB",22,28,0.785714285714286,0.185342731430368,1.73555322593464
"BLK",15,21,0.714285714285714,0.123783655395762,0.729559071925497
"BK",16,25,0.64,0.172047993527084,0.351965869982003
"BA",20,23,0.869565217391304,0.152431316626917,0.35976051172908
"BKNG",8,12,0.666666666666667,0.125723942342576,0.404666385276533
"BWA",14,19,0.736842105263158,0.13987675927524,0.38523583112814
"BXP",8,10,0.8,0.152891542993827,0.885469633020978
"BSX",9,11,0.818181818181818,0.185147291376647,0.464406178744013
"BMY",15,19,0.789473684210526,0.205777730851486,0.305059613557693
"AVGO",11,13,0.846153846153846,0.295821352531362,0.56749789204147
"BR",14,20,0.7,0.118102044591141,0.847127096807337
"BRO",18,21,0.857142857142857,0.185169109185583,0.829581042441875
"BF-B",22,27,0.814814814814815,0.157240328078861,0.380444584249427
"CHRW",14,18,0.777777777777778,0.170340079213028,0.563433792056109
"CDNS",13,14,0.928571428571429,0.230059633443472,1.35491738710268
"CZR",10,10,1,0.417040297463729,1.32345515342732
"CPB",11,18,0.611111111111111,0.127800130703691,0.707166880734761
"COF",13,22,0.590909090909091,0.0995283968416602,1.4119511096359
"CAH",11,17,0.647058823529412,0.265965301388559,0.544022779404614
"KMX",16,20,0.8,0.116437684213048,1.20505308253311
"CCL",11,13,0.846153846153846,0.231552341197181,0.703591088216459
"CARR",3,3,1,0.198627783222554,1.32303875200586
"CTLT",9,10,0.9,0.163396347325579,0.829450953727179
"CAT",20,22,0.909090909090909,0.135075273757268,0.662256210316214
"CBOE",7,10,0.7,0.135975874478285,0.350357141114513
"CBRE",10,11,0.909090909090909,0.147078946167702,1.71322068333695
"CDW",10,10,1,0.218069741444141,0.401637243263147
"CE",11,13,0.846153846153846,0.16144608870585,0.415171424975075
"CNC",16,19,0.842105263157895,0.187122863828457,0.659501505343318
"CNP",5,7,0.714285714285714,0.225630313781883,0.368401881546865
"CDAY",4,4,1,0.274103909698332,0.359040357965075
"CERN",22,27,0.814814814814815,0.514005827647849,0.623689493851771
"CF",11,13,0.846153846153846,0.202966415695261,1.00750874329291
"CRL",14,14,1,0.229781421719902,0.67553836132357
"SCHW",16,20,0.8,0.281340257944216,0.879059295048929
"CHTR",15,18,0.833333333333333,0.123647356576525,0.897413295438865
"CVX",20,24,0.833333333333333,0.132893755972023,0.58774079037347
"CMG",13,17,0.764705882352941,0.145797553305512,2.16630091769432
"CB",17,27,0.62962962962963,0.132649123860219,0.597413873619475
"CHD",28,33,0.848484848484849,0.166569164974198,0.570820627555486
"CI",25,33,0.757575757575758,0.112639293778732,0.611970920909498
"CINF",8,11,0.727272727272727,0.26933789139415,0.19228182594718
"CTAS",14,18,0.777777777777778,0.307367297858381,0.538292453346807
"CSCO",10,14,0.714285714285714,0.755001903920398,1.00840132608506
"C",15,15,1,0.258793061546217,0.395197968688659
"CFG",2,3,0.666666666666667,0.170835014563842,0.677130052410098
"CTXS",11,15,0.733333333333333,0.312445153574138,1.04118356618977
"CLX",20,38,0.526315789473684,0.1065746225375,0.541305744000696
"CME",12,16,0.75,0.141848940449694,0.617819816299843
"CMS",7,12,0.583333333333333,0.144248670512751,0.499530382261375
"KO",15,24,0.625,0.216894655878341,0.290051532878338
"CTSH",16,20,0.8,0.345461733726725,0.533444055771233
"CL",24,41,0.585365853658537,0.134786995823747,0.531336074406057
"CMCSA",20,28,0.714285714285714,0.169040666976227,1.05039529382233
"CMA",8,8,1,0.200233426892671,0.325007745049023
"CAG",14,18,0.777777777777778,0.17247349687821,0.544134506404728
"COP",21,27,0.777777777777778,0.133656316953463,0.289244985453048
"ED",12,20,0.6,0.17462105787244,0.331378344519872
"STZ",17,21,0.80952380952381,0.251847749033431,0.93195949528873
"CPRT",21,28,0.75,0.222063775905796,0.639187262987023
"GLW",11,11,1,0.258351229404003,0.913012821406719
"CTVA",1,4,0.25,0.0297033369676055,0.164277616740823
"COST",23,32,0.71875,0.129564381373382,0.406968601155913
"CTRA",17,17,1,0.233380168297483,0.784964150756935
"CCI",16,24,0.666666666666667,0.138326358782301,2.26126496956462
"CSX",27,38,0.710526315789474,0.125334965950323,1.14766002290593
"CMI",14,18,0.777777777777778,0.146660363186624,0.419436624193499
"CVS",17,21,0.80952380952381,0.136639611481142,0.425044110024596
"DHI",12,17,0.705882352941177,0.239253414087653,0.570508358868205
"DHR",28,42,0.666666666666667,0.154559956611905,0.594378616993902
"DRI",17,25,0.68,0.137569818869273,0.437669767105152
"DVA",15,17,0.882352941176471,0.116013427793096,0.351336110355823
"DE",13,25,0.52,0.123672692205233,0.293256606816876
"DAL",5,9,0.555555555555556,0.200100653373582,0.412358249844191
"XRAY",13,18,0.722222222222222,0.123075624030226,0.450917543070909
"DVN",11,14,0.785714285714286,0.225908062574625,0.900057787540292
"DXCM",13,15,0.866666666666667,0.207755239819272,1.234498663489
"FANG",6,6,1,0.519545405677463,0.986109939327236
"DLR",10,17,0.588235294117647,0.125525325955578,0.292276689234215
"DFS",11,15,0.733333333333333,0.143337701924626,0.409206569347632
"DISCA",9,12,0.75,0.1015433883091,0.421822756907002
"DISCK",8,11,0.727272727272727,0.191569448835193,0.460665016202703
"DISH",7,10,0.7,0.231502623057251,1.41430128873229
"DG",16,22,0.727272727272727,0.144240506748967,0.6533939857945
"DLTR",20,21,0.952380952380952,0.224484126770374,1.36560776495457
"D",18,33,0.545454545454545,0.0746179764220604,0.328175822820983
"DPZ",16,22,0.727272727272727,0.163147277864099,0.445265881619084
"DOV",19,25,0.76,0.20930425746095,0.817881292559613
"DOW",0,0,0,0,0
"DTE",18,31,0.580645161290323,0.0867758528287434,0.233786059440144
"DUK",10,14,0.714285714285714,0.209388513263347,0.380540525050456
"DRE",9,13,0.692307692307692,0.179461532743622,0.246239846459519
"DD",10,27,0.37037037037037,0.0846769855080075,0.412872000009536
"DXC",20,20,1,0.2265738624209,0.524772959387507
"EMN",7,10,0.7,0.233394572773964,0.241478996038483
"ETN",28,44,0.636363636363636,0.109849503902577,0.518840870913165
"EBAY",16,19,0.842105263157895,0.108657634453271,0.519614205344029
"ECL",23,34,0.676470588235294,0.132337789362757,0.403576776020839
"EIX",10,13,0.769230769230769,0.235958285972632,0.187579647222923
"EW",18,24,0.75,0.182811524428861,0.763670366994133
"EA",20,26,0.769230769230769,0.218977758154619,1.75878857266041
"LLY",16,23,0.695652173913043,0.158233521568884,0.479956058257748
"EMR",19,29,0.655172413793103,0.132855020205101,0.451987511386498
"ENPH",3,4,0.75,1.45524653043867,1.1069167221383
"ETR",12,16,0.75,0.143938713007843,0.333090736081584
"EOG",15,19,0.789473684210526,0.231173256778062,0.354917145935039
"EFX",16,24,0.666666666666667,0.195478922659869,0.371475742864222
"EQIX",5,5,1,0.402304532760591,0.221819688162115
"EQR",13,20,0.65,0.110053303740028,0.573533595738663
"ESS",16,24,0.666666666666667,0.108929504563993,0.360041704400862
"EL",19,26,0.730769230769231,0.148471521936235,0.575609443176037
"ETSY",6,7,0.857142857142857,0.393332151428264,2.77570796938984
"RE",12,20,0.6,0.103752100618747,0.394799936644844
"EVRG",7,11,0.636363636363636,0.122754273024737,0.288947520973128
"ES",9,14,0.642857142857143,0.12644302857591,0.284105033813664
"EXC",11,11,1,0.224041770329112,0.392588453813587
"EXPE",7,9,0.777777777777778,0.137678116872344,0.757981830326827
"EXPD",24,26,0.923076923076923,0.257978298198631,1.00430246426616
"EXR",13,16,0.8125,0.190934859221121,0.431306173322208
"XOM",22,32,0.6875,0.110724297211731,0.598000448641989
"FFIV",6,9,0.666666666666667,0.147303991598699,0.658128705608619
"FB",9,12,0.75,0.251953785161956,0.929370572684065
"FAST",22,28,0.785714285714286,0.220207794139299,0.399334448967362
"FRT",15,24,0.625,0.12187082737705,0.378946710235535
"FDX",23,32,0.71875,0.172886406516052,0.576832288958089
"FIS",10,15,0.666666666666667,0.14167766533144,0.652689028104136
"FITB",14,17,0.823529411764706,0.199536976517543,1.24619384068416
"FRC",9,12,0.75,0.133136897099337,0.313362409955056
"FE",5,10,0.5,0.113420271864941,0.287867164386244
"FISV",27,40,0.675,0.196804291380477,0.503001929917494
"FLT",8,12,0.666666666666667,0.193791775153563,0.641281143055689
"FMC",14,18,0.777777777777778,0.219700360855106,0.482947203838824
"F",8,9,0.888888888888889,0.360950538494094,0.631262689889135
"FTNT",9,14,0.642857142857143,0.211541446555596,1.08943720247946
