"","win_num","trans_num","winrate","return","ann_return"
"600000.ss",4,10,0.4,0.0577544061792841,1.37182597597422
"600028.ss",4,6,0.666666666666667,0.246934090898835,1.13429762839495
"600036.ss",10,13,0.769230769230769,0.122812534446615,0.651356078641016
"600104.ss",9,17,0.529411764705882,0.134523795107492,1.41761626455188
"600309.ss",12,12,1,0.211339795840584,0.615638969183929
"600547.ss",6,6,1,0.562299749505563,0.9621485754738
"600588.ss",14,18,0.777777777777778,0.149121650353169,1.74232452641489
"600745.ss",7,8,0.875,0.323122669422555,0.840480428448483
"600887.ss",21,26,0.807692307692308,0.201263700518544,0.808618266763744
"601012.ss",11,12,0.916666666666667,0.142503746864902,1.06868961614703
"601138.ss",1,1,1,0.0972222222222223,0.0612886202264441
"601288.ss",4,4,1,0.135164036061167,0.47530672741476
"601398.ss",2,2,1,0.101440544702474,0.0964818799938776
"601668.ss",5,8,0.625,0.078833340598236,0.372984923464096
"601857.ss",0,0,0,0,0
"601995.ss",0,0,0,0,0
"603501.ss",7,7,1,0.242889011318908,1.85205178498068
"600009.ss",9,11,0.818181818181818,0.236973078030435,0.676442473944133
"600030.ss",10,11,0.909090909090909,0.152512086126544,1.81138880729731
"600048.ss",13,14,0.928571428571429,0.177585655394661,1.49771740148165
"600196.ss",18,20,0.9,0.13627674281878,1.55552507387248
"600438.ss",13,14,0.928571428571429,0.200596081074614,2.17621135094416
"600570.ss",11,11,1,0.371505769430895,1.35849636276596
"600690.ss",17,20,0.85,0.243255999082219,0.995939111215753
"600809.ss",16,18,0.888888888888889,0.301092702402761,1.92368974901573
"600893.ss",12,13,0.923076923076923,0.219819869776662,1.09018042100368
"601066.ss",8,8,1,0.122214002037155,3.31760305313987
"601166.ss",6,7,0.857142857142857,0.109550098281392,0.858510597210039
"601318.ss",3,4,0.75,0.0657782029008979,0.310835085562437
"601601.ss",2,2,1,0.0704412264212391,1.09935798291154
"601688.ss",4,4,1,0.154114803750641,2.99933973435195
"601888.ss",11,11,1,0.17741577242327,1.07704125417165
"603259.ss",4,6,0.666666666666667,0.226977131551249,0.748250613630313
"603986.ss",4,4,1,0.120240359669903,0.240603990789998
"600016.ss",7,11,0.636363636363636,0.108987046367908,0.374531766127619
"600031.ss",8,9,0.888888888888889,0.390478028942347,0.851862742522133
"600050.ss",6,8,0.75,0.212775647017088,1.83553416709956
"600276.ss",21,26,0.807692307692308,0.182692877802397,0.845732250221837
"600519.ss",23,25,0.92,0.118980676610006,0.89646778030585
"600585.ss",12,16,0.75,0.226844411588089,0.887725265986265
"600703.ss",15,16,0.9375,0.271034431152488,0.664153825690999
"600837.ss",12,14,0.857142857142857,0.428663584865775,1.92655248995907
"600918.ss",0,1,0,-0.00689649425287353,-0.0237473622858381
"601088.ss",1,1,1,0.0755689658400922,0.492547723779172
"601211.ss",0,0,0,0,0
"601336.ss",4,7,0.571428571428571,0.0682757415686844,1.27599751390668
"601628.ss",2,2,1,0.235630374715178,1.25555125438084
"601818.ss",2,7,0.285714285714286,0.083309948221077,0.852770748498346
"601899.ss",5,5,1,0.172977601500406,0.653526812335525
"603288.ss",13,17,0.764705882352941,0.152816628276573,1.169750654182
"overall",409,493,0.829614604462475,0.183313071179343,1.08866385025729
