"","win_num","trans_num","winrate","return","ann_return"
"600000.ss",59,484,0.121900826446281,0.00149467204339843,-1.31389151917538
"600028.ss",41,424,0.0966981132075472,0.00340362990215341,-0.995011429738098
"600036.ss",50,420,0.119047619047619,0.00453699944333443,-1.06808157700881
"600104.ss",60,524,0.114503816793893,0.000234882581716442,-1.49333403252554
"600309.ss",85,447,0.190156599552573,0.00614756574371348,-1.45699769414992
"600547.ss",68,369,0.184281842818428,0.010835134485341,-1.5075328515541
"600588.ss",82,440,0.186363636363636,0.00435246690175651,-1.79111920559186
"600745.ss",85,446,0.190582959641256,0.0154060661753543,-1.50592114041047
"600887.ss",89,538,0.16542750929368,0.0046809798585034,-1.46707929101222
"601012.ss",38,209,0.181818181818182,0.0134492304709447,-1.91750409542123
"601138.ss",7,81,0.0864197530864197,-0.000704159434484119,-1.34377833810436
"601288.ss",11,238,0.046218487394958,0.00178356125603125,-0.421341635942604
"601398.ss",25,322,0.077639751552795,0.00280614057114956,-0.625255755115252
"601668.ss",24,269,0.0892193308550186,0.00356044742797848,-1.09806956713556
"601857.ss",20,300,0.0666666666666667,-0.00067371755535295,-0.950811273514612
"601995.ss",2,27,0.0740740740740741,-0.00564561140702481,-3.48776477888552
"603501.ss",22,87,0.252873563218391,0.0195843585815169,-1.90106848566111
"600009.ss",59,519,0.113680154142582,0.000341574396745738,-1.43439243207039
"600030.ss",58,412,0.140776699029126,0.00930653127938116,-1.3546917865172
"600048.ss",60,332,0.180722891566265,0.0050173901175161,-1.30165749943764
"600196.ss",65,508,0.127952755905512,0.00241528823872333,-1.7883254950147
"600438.ss",79,358,0.220670391061453,0.0155255047664525,-1.49012595673089
"600570.ss",80,378,0.211640211640212,0.0128461054434938,-1.70111414411141
"600690.ss",86,594,0.144781144781145,0.00466167703547391,-1.52805007237753
"600809.ss",112,599,0.186978297161937,0.00724126354141515,-1.31174850343767
"600893.ss",84,498,0.168674698795181,0.0050951576946929,-1.57941101191108
"601066.ss",14,79,0.177215189873418,0.0274904220143449,-1.17155672069852
"601166.ss",45,322,0.139751552795031,0.00568090509830328,-1.04308748245877
"601318.ss",40,318,0.125786163522013,0.00339793675461012,-1.22574585864069
"601601.ss",40,290,0.137931034482759,0.00224795136085599,-0.993994760944091
"601688.ss",33,256,0.12890625,0.00205698839844491,-1.5872392845904
"601888.ss",44,263,0.167300380228137,0.00718836989642245,-1.67611238966189
"603259.ss",16,71,0.225352112676056,0.0153464956284174,-0.649706195934639
"603986.ss",18,97,0.185567010309278,0.0248473299259033,-3.32668146453211
"600016.ss",42,440,0.0954545454545455,0.00400997884507385,-0.816653554764449
"600031.ss",66,385,0.171428571428571,0.0109868844561668,-1.65421083188532
"600050.ss",41,421,0.0973871733966746,0.000159534030513719,-1.33544669959948
"600276.ss",63,479,0.131524008350731,0.000569904181079887,-1.56609938041435
"600519.ss",65,438,0.148401826484018,0.00863026505865062,-0.874329516202616
"600585.ss",76,416,0.182692307692308,0.00519643263501082,-1.51679454806769
"600703.ss",91,528,0.172348484848485,0.0109584359954763,-1.949070063223
"600837.ss",75,556,0.134892086330935,0.0125292894649657,-1.50261902209243
"600918.ss",5,33,0.151515151515152,0.00315638515224412,-0.876359190832216
"601088.ss",35,305,0.114754098360656,-0.00335216116740942,-1.53194403681952
"601211.ss",13,154,0.0844155844155844,-0.00471148378764357,-1.25506104418036
"601336.ss",23,233,0.0987124463519313,-0.000449071923747717,-1.66744473187923
"601628.ss",40,326,0.122699386503067,0.00344468682929514,-0.953403337089622
"601818.ss",22,240,0.0916666666666667,0.00311311431686312,-0.667116784942014
"601899.ss",41,290,0.141379310344828,0.00713816846842971,-1.07859773857211
"603288.ss",30,186,0.161290322580645,0.00368027122265554,-1.35929225250806
"overall",2429,16949,0.143312289810608,0.00602040344829704,-1.40225292926177
