"","win_num","trans_num","winrate","return","ann_return"
"600000.ss",31,121,0.256198347107438,0.0136203822625206,-0.445992284693823
"600028.ss",27,128,0.2109375,0.0155665936391818,-0.411968507622518
"600036.ss",26,136,0.191176470588235,0.0158050709630275,-0.692293704028481
"600104.ss",40,146,0.273972602739726,0.0144967699032476,-0.876627626264454
"600309.ss",44,124,0.354838709677419,0.0399274609977528,-0.452596403952794
"600547.ss",32,98,0.326530612244898,0.0850827239548309,-1.00434356670248
"600588.ss",31,130,0.238461538461538,0.00949021788827949,-1.60252404174932
"600745.ss",31,123,0.252032520325203,0.0403863084404404,-1.10691953827584
"600887.ss",41,173,0.236994219653179,0.01273725639818,-1.1565545080347
"601012.ss",22,66,0.333333333333333,0.0471458976825814,-0.991151011989302
"601138.ss",3,22,0.136363636363636,-0.00675286060562546,-0.728154072405723
"601288.ss",7,84,0.0833333333333333,0.00320789115526143,-0.367720463128382
"601398.ss",16,97,0.164948453608247,0.00199726066732268,-0.629992656948419
"601668.ss",16,80,0.2,0.0153410140757771,-0.369804801375703
"601857.ss",10,79,0.126582278481013,-0.00341215743591554,-0.494466498518601
"601995.ss",2,5,0.4,0.00206098430532373,-0.174292109372582
"603501.ss",10,21,0.476190476190476,0.0766994501565319,-0.715867306812689
"600009.ss",41,147,0.27891156462585,0.0244712603835422,-0.445721471042019
"600030.ss",31,105,0.295238095238095,0.0404158111695779,-1.07667141694102
"600048.ss",25,112,0.223214285714286,0.00639369580181899,-0.647041204547423
"600196.ss",38,143,0.265734265734266,0.0161551041255813,-1.09551624884588
"600438.ss",29,105,0.276190476190476,0.0344615573018185,-0.673321892778927
"600570.ss",34,113,0.300884955752212,0.0470267911783578,-0.616648258723266
"600690.ss",43,169,0.254437869822485,0.0230939631598165,-0.920342636423785
"600809.ss",48,179,0.268156424581006,0.0208041597116609,-1.13616769560406
"600893.ss",43,143,0.300699300699301,0.0359351553329692,-0.608030591990127
"601066.ss",4,18,0.222222222222222,0.0331984186970086,-1.17161971999024
"601166.ss",21,98,0.214285714285714,0.011670606293135,-0.565788624504744
"601318.ss",18,95,0.189473684210526,0.0121827566589879,-0.628488133695584
"601601.ss",21,108,0.194444444444444,0.0109956183917796,-1.02772161110625
"601688.ss",16,60,0.266666666666667,0.0242361103872136,-0.293677871831016
"601888.ss",18,74,0.243243243243243,0.0291944787590282,-0.394427647478386
"603259.ss",10,18,0.555555555555556,0.0712628274970609,-0.220436693013633
"603986.ss",7,21,0.333333333333333,0.0486479609985024,-1.60207546045459
"600016.ss",29,133,0.218045112781955,0.0117820452601666,-0.506112157134123
"600031.ss",32,107,0.299065420560748,0.0444909576871532,-0.659335946098298
"600050.ss",23,124,0.185483870967742,0.00439515209326648,-1.06631041966699
"600276.ss",33,123,0.268292682926829,0.0208976976931637,-0.845829972002598
"600519.ss",35,126,0.277777777777778,0.0447594406537573,-0.232889038056179
"600585.ss",42,123,0.341463414634146,0.0322110657808305,-0.690494245271432
"600703.ss",48,158,0.30379746835443,0.0357310271978811,-0.896833743181511
"600837.ss",36,137,0.262773722627737,0.0803297570746047,-0.416701250495242
"600918.ss",3,9,0.333333333333333,-0.0324042500514945,-0.786887834436564
"601088.ss",24,89,0.269662921348315,0.00312723678562794,-0.760805368381938
"601211.ss",6,35,0.171428571428571,-0.00547971473833175,-0.592687223934511
"601336.ss",16,74,0.216216216216216,-0.00857334719860877,-1.05196645688363
"601628.ss",24,94,0.25531914893617,0.00528292418758455,-0.757545021830051
"601818.ss",12,74,0.162162162162162,0.00144465219959705,-0.706704620880394
"601899.ss",22,77,0.285714285714286,0.0246420122412785,-0.718507445158
"603288.ss",15,51,0.294117647058824,0.0164779958395505,-0.32818768630759
"overall",1236,4875,0.253538461538462,0.0230532238600521,-0.727255294211317
