"","win_num","trans_num","winrate","return","ann_return"
"600000.ss",9,29,0.310344827586207,0.139224617320892,-0.112574947848118
"600028.ss",8,27,0.296296296296296,0.0394888168894419,-0.166450846282811
"600036.ss",7,24,0.291666666666667,0.236290723606371,-0.101529714918538
"600104.ss",11,29,0.379310344827586,0.231998935004267,0.0598957489772882
"600309.ss",11,25,0.44,0.276231844953155,-0.0266953220322779
"600547.ss",10,27,0.37037037037037,0.28010560742479,0.126296976060713
"600588.ss",12,28,0.428571428571429,0.133926089554494,-0.0700694032490178
"600745.ss",7,26,0.269230769230769,0.166606434578095,-0.514655821943709
"600887.ss",13,35,0.371428571428571,0.214332691806611,-0.0300066706344853
"601012.ss",9,14,0.642857142857143,0.30461435722896,0.244677145827262
"601138.ss",1,4,0.25,0.00238173103502234,-0.277162177956517
"601288.ss",2,14,0.142857142857143,0.0131360328389838,-0.165368924707707
"601398.ss",5,22,0.227272727272727,0.0236573021026758,-0.200537707282014
"601668.ss",3,17,0.176470588235294,0.0446931880229567,-0.281631474957711
"601857.ss",3,24,0.125,-0.0323620582202587,-0.647882266066631
"601995.ss",0,1,0,-0.1666666694007,-0.981182811794443
"603501.ss",3,6,0.5,0.0909508992136736,-0.0182416434010317
"600009.ss",13,37,0.351351351351351,0.0603141737930062,-0.0612634173321679
"600030.ss",9,31,0.290322580645161,0.179927210807723,-0.294154435401295
"600048.ss",8,22,0.363636363636364,0.129585697713705,-0.345949849953015
"600196.ss",14,32,0.4375,0.105469398243624,-0.387263947397152
"600438.ss",14,26,0.538461538461538,0.149661434438167,-0.057434887456178
"600570.ss",10,26,0.384615384615385,0.276371843571979,-0.096534820315609
"600690.ss",14,29,0.482758620689655,0.295728125250651,0.0445522727962642
"600809.ss",16,39,0.41025641025641,0.192530805338996,-0.0411860759565463
"600893.ss",13,40,0.325,0.0156305634553479,-0.399656431305301
"601066.ss",3,5,0.6,0.236767537604733,0.363419809400153
"601166.ss",6,22,0.272727272727273,0.0483564390789913,-0.354668333157381
"601318.ss",7,14,0.5,0.195955694580331,0.0954706669028081
"601601.ss",6,17,0.352941176470588,0.0694368191723034,-0.238397787374089
"601688.ss",5,18,0.277777777777778,0.0261413686685403,-0.537972602551355
"601888.ss",7,16,0.4375,0.199599073280375,-0.0496259683877098
"603259.ss",3,6,0.5,0.107675421325257,-0.411999370963013
"603986.ss",2,6,0.333333333333333,0.212455607993878,-0.00289732440864343
"600016.ss",6,27,0.222222222222222,0.131686875221774,-0.0329216944744382
"600031.ss",7,21,0.333333333333333,0.560074856896632,-0.00091216245835104
"600050.ss",4,20,0.2,0.0865818898410437,-0.188505670427787
"600276.ss",11,25,0.44,0.23283257880402,-0.138996815577176
"600519.ss",14,26,0.538461538461538,0.217081964515078,0.143935880072218
"600585.ss",10,26,0.384615384615385,0.364459149568892,-0.142967959197505
"600703.ss",12,27,0.444444444444444,0.300926059577064,-0.0542046504921259
"600837.ss",8,30,0.266666666666667,0.0981028203013319,-0.0120885881733724
"600918.ss",0,2,0,-0.130330219843343,-0.60362868716879
"601088.ss",4,19,0.210526315789474,-0.0241621451042945,-0.589264419247683
"601211.ss",2,9,0.222222222222222,-0.0614104735900703,-0.38667448252505
"601336.ss",4,10,0.4,0.145800578113202,-0.0935218474698452
"601628.ss",6,20,0.3,0.0680690331620584,-0.389385695542464
"601818.ss",2,17,0.117647058823529,0.0371128939030467,-0.256143212594357
"601899.ss",4,18,0.222222222222222,0.0760055275913616,-0.154617229236529
"603288.ss",4,10,0.4,0.159586759920439,-0.174896453001969
"overall",362,1045,0.346411483253589,0.135252718143105,-0.180269521051704
