"","win_num","trans_num","winrate","return","ann_return"
"600000.ss",48,426,0.112676056338028,0.00101490715093747,-1.23926289950611
"600028.ss",41,374,0.109625668449198,0.00303118505227889,-1.41589482974467
"600036.ss",44,389,0.113110539845758,0.00387879160817936,-1.09022890906519
"600104.ss",57,500,0.114,0.00215800552991155,-1.8666719418595
"600309.ss",67,407,0.164619164619165,0.00709999055247295,-2.52729911272015
"600547.ss",58,337,0.172106824925816,0.0133957179602826,-2.21744521112211
"600588.ss",55,405,0.135802469135802,0.00329497733151757,-2.61792342677699
"600745.ss",63,404,0.155940594059406,0.014828060290456,-2.03206693491718
"600887.ss",74,512,0.14453125,0.00545932200139911,-1.32670440401905
"601012.ss",37,180,0.205555555555556,0.0207960046259152,-1.27169458456014
"601138.ss",5,82,0.0609756097560976,-0.00542504534426822,-1.85894831297208
"601288.ss",10,215,0.0465116279069767,-6.96403803767802e-05,-0.853028193027555
"601398.ss",23,300,0.0766666666666667,0.00116523227710529,-1.06741246717288
"601668.ss",22,234,0.094017094017094,0.00468807225111569,-0.842585595689808
"601857.ss",18,278,0.0647482014388489,-0.000605758247409579,-1.23857803891275
"601995.ss",3,29,0.103448275862069,-0.00927180822397394,-3.01477514271467
"603501.ss",22,84,0.261904761904762,0.0239395528236237,-0.976261034458879
"600009.ss",58,493,0.117647058823529,0.00304401719210556,-1.44903884930133
"600030.ss",52,386,0.134715025906736,0.00768170864276589,-1.95016401657178
"600048.ss",45,306,0.147058823529412,0.00114048782996512,-1.57753656072004
"600196.ss",55,473,0.116279069767442,0.00409069451870432,-1.87760340345877
"600438.ss",60,335,0.17910447761194,0.0110572895608018,-2.21517959636954
"600570.ss",66,337,0.195845697329377,0.0133968080011153,-2.34326277747766
"600690.ss",69,535,0.128971962616822,0.0057883107086529,-1.63250553002095
"600809.ss",91,561,0.162210338680927,0.00506879927288587,-2.13335254484688
"600893.ss",72,482,0.149377593360996,0.00711019136331437,-2.36607274987965
"601066.ss",8,71,0.112676056338028,0.0140924394076624,-1.20860812853319
"601166.ss",37,297,0.124579124579125,0.00158175027226221,-1.6308733889003
"601318.ss",32,290,0.110344827586207,0.00490272373263311,-1.2330769007011
"601601.ss",30,298,0.100671140939597,-0.00186029148259774,-1.59914119098856
"601688.ss",32,232,0.137931034482759,0.00737604419822878,-1.98809671641358
"601888.ss",29,257,0.11284046692607,0.00256921737483893,-2.3126770194965
"603259.ss",14,71,0.197183098591549,0.0177419956486353,-1.53153366663488
"603986.ss",15,90,0.166666666666667,0.0268651851394047,-3.26625176439261
"600016.ss",37,409,0.0904645476772616,0.0023917232228904,-1.46313214638094
"600031.ss",51,351,0.145299145299145,0.00994974981756894,-2.18252816066834
"600050.ss",37,379,0.0976253298153034,0.00046055509232587,-1.4714755832549
"600276.ss",54,460,0.117391304347826,0.000694435329385649,-2.0646417243523
"600519.ss",56,411,0.13625304136253,0.00800394442113336,-1.47973519615212
"600585.ss",54,382,0.141361256544503,0.0070970282121371,-1.76288098762868
"600703.ss",77,495,0.155555555555556,0.00952509357810336,-2.43698518446931
"600837.ss",61,512,0.119140625,0.0150999940835574,-1.9537278940302
"600918.ss",3,26,0.115384615384615,-0.0124442993631645,-2.08894032958939
"601088.ss",28,273,0.102564102564103,-0.00135212848835323,-1.79008159391204
"601211.ss",12,137,0.0875912408759124,-0.000856496185933159,-1.4869016383392
"601336.ss",21,224,0.09375,-0.00445873650605919,-1.99317073575409
"601628.ss",31,317,0.0977917981072555,0.00157575077050378,-1.29240209817963
"601818.ss",17,212,0.080188679245283,0.000512940584430875,-1.13276215678495
"601899.ss",30,265,0.113207547169811,0.00610276282955572,-1.60555225229345
"603288.ss",29,179,0.162011173184358,0.00472866922399732,-2.26581032812056
"overall",2010,15702,0.128009170806267,0.00536111850525251,-1.76484967707714
