"","win_num","trans_num","winrate","return","ann_return"
"600000.ss",22,101,0.217821782178218,0.0187184089994574,-0.64355747212303
"600028.ss",22,98,0.224489795918367,0.0117247637644113,-1.09131243546332
"600036.ss",20,98,0.204081632653061,0.0166410232671562,-0.952534171656777
"600104.ss",30,119,0.252100840336134,0.0122841287595437,-1.24083740169654
"600309.ss",32,87,0.367816091954023,0.041654477096743,-0.62469425987422
"600547.ss",21,67,0.313432835820896,0.139544996114147,-0.347602277074761
"600588.ss",24,100,0.24,0.0228288221895604,-1.66880158807903
"600745.ss",28,106,0.264150943396226,0.0516201751889581,-1.01603287949314
"600887.ss",35,133,0.263157894736842,0.0208471020847411,-0.889301469137509
"601012.ss",16,46,0.347826086956522,0.0667736040764086,-0.218276032200608
"601138.ss",3,20,0.15,-0.0050934823336019,-0.82661174080225
"601288.ss",6,52,0.115384615384615,-0.00252600765176724,-0.727871337387996
"601398.ss",11,75,0.146666666666667,-0.00590363768552507,-0.527224281641102
"601668.ss",14,60,0.233333333333333,0.0233739832157265,-0.319123380503671
"601857.ss",6,69,0.0869565217391304,-0.00727927482244298,-0.656310678104795
"601995.ss",1,6,0.166666666666667,-0.0293372141133663,-1.91697499612267
"603501.ss",6,15,0.4,0.0910926845987343,-0.325526478593167
"600009.ss",29,111,0.261261261261261,0.0242979382156739,-0.75995278473708
"600030.ss",27,77,0.350649350649351,0.0778752142303445,-0.628676139587884
"600048.ss",22,86,0.255813953488372,0.0291399596968414,-0.634111904665361
"600196.ss",27,115,0.234782608695652,0.0117773211988234,-0.993956028618685
"600438.ss",26,78,0.333333333333333,0.0555453836094508,-0.953122695313706
"600570.ss",21,79,0.265822784810127,0.0564814476094956,-1.22108807079702
"600690.ss",37,134,0.276119402985075,0.0348606994691309,-0.842082565856089
"600809.ss",39,146,0.267123287671233,0.0182386092061692,-1.1692534393317
"600893.ss",28,102,0.274509803921569,0.0419766590593928,-0.886603462162528
"601066.ss",6,14,0.428571428571429,0.0898083158977989,-0.232770993181015
"601166.ss",17,77,0.220779220779221,0.012162211514656,-0.481782536623023
"601318.ss",23,70,0.328571428571429,0.0394280013129987,-0.700356259816307
"601601.ss",17,75,0.226666666666667,0.00373946826993211,-0.890009250838954
"601688.ss",15,49,0.306122448979592,0.0392276402356281,-0.535640261604496
"601888.ss",12,53,0.226415094339623,0.0337884562078079,-0.451187915372674
"603259.ss",2,10,0.2,0.0478652482908421,-0.690948583712908
"603986.ss",7,17,0.411764705882353,0.168905266048929,-0.612825658179214
"600016.ss",23,97,0.237113402061856,0.0203833526829741,-0.484530647397937
"600031.ss",28,82,0.341463414634146,0.0427095236540069,-0.674291650691617
"600050.ss",17,87,0.195402298850575,0.000197605379823912,-1.04502444668034
"600276.ss",27,97,0.278350515463918,0.0316478581258997,-0.762235202455741
"600519.ss",31,93,0.333333333333333,0.0605062899422369,-0.390970942494563
"600585.ss",28,83,0.337349397590361,0.0456981654786624,-0.509121778614684
"600703.ss",30,113,0.265486725663717,0.0846366455143141,-1.03628159966043
"600837.ss",32,111,0.288288288288288,0.082407365801782,-1.00187936917795
"600918.ss",3,6,0.5,-0.0581492804307248,-0.183344133999458
"601088.ss",15,76,0.197368421052632,-0.0102738747157507,-1.19101985042871
"601211.ss",7,28,0.25,0.0190795680617794,-0.201635828386858
"601336.ss",13,45,0.288888888888889,0.00290721486507426,-1.2640880595357
"601628.ss",17,80,0.2125,0.0112666716244474,-0.752856111403887
"601818.ss",5,44,0.113636363636364,-0.00182276824168389,-0.880182223944536
"601899.ss",13,60,0.216666666666667,0.0198499528911915,-0.653520194998355
"603288.ss",15,38,0.394736842105263,0.0526930661549282,-0.824242918994302
"overall",956,3685,0.259430122116689,0.0331163949922352,-0.770643727784366
