"","win_num","trans_num","winrate","return","ann_return"
"600000.ss",5,22,0.227272727272727,0.095035812522444,-0.146524336471967
"600028.ss",7,23,0.304347826086957,0.00410326626265071,-1.023362903886
"600036.ss",8,23,0.347826086956522,0.206374033441474,-0.21954611438803
"600104.ss",10,23,0.434782608695652,0.266355302880786,0.106225332170191
"600309.ss",10,21,0.476190476190476,0.385743396657154,0.0237410800500417
"600547.ss",9,19,0.473684210526316,0.430078839211837,-0.615613996902163
"600588.ss",6,20,0.3,0.282119786915426,-0.338862347319816
"600745.ss",7,22,0.318181818181818,0.147789776260033,-0.544978499724507
"600887.ss",10,25,0.4,0.19976197515541,-0.142131028991047
"601012.ss",5,11,0.454545454545455,0.377754070605535,-0.306363810024358
"601138.ss",1,4,0.25,0.000708841159474782,-0.0517920335670527
"601288.ss",2,10,0.2,0.0022358018674861,-0.161436653855923
"601398.ss",4,13,0.307692307692308,-0.00677673586905747,-0.1283264614359
"601668.ss",1,10,0.1,-0.040829897297904,-0.365410612187536
"601857.ss",2,16,0.125,-0.0415118274887233,-0.241993281009722
"601995.ss",0,1,0,-0.172638479718616,-9.00186358532785
"603501.ss",2,2,1,0.368966176956621,0.892242615603923
"600009.ss",10,25,0.4,0.179459532206275,-0.054894488708078
"600030.ss",9,19,0.473684210526316,0.0745700245279641,-0.24919410308298
"600048.ss",6,12,0.5,0.166907890254105,0.039891683777422
"600196.ss",10,20,0.5,0.138530897793668,-0.553587292287101
"600438.ss",7,19,0.368421052631579,0.0899860845720085,-0.119877341044679
"600570.ss",6,17,0.352941176470588,0.399069181877772,-0.167166875588898
"600690.ss",12,24,0.5,0.200970598857586,0.100317870218451
"600809.ss",10,28,0.357142857142857,0.274487038563735,-0.138489681895748
"600893.ss",9,32,0.28125,0.0314380013532783,-0.552098782753644
"601066.ss",2,3,0.666666666666667,0.717577579104399,0.733521310641094
"601166.ss",5,16,0.3125,0.0551758768388636,0.00224175406984469
"601318.ss",5,11,0.454545454545455,0.192809931787795,0.152545948969024
"601601.ss",3,13,0.230769230769231,0.0365712604935867,-0.711822485694938
"601688.ss",3,11,0.272727272727273,-0.0522497783437925,-0.245443795251991
"601888.ss",4,12,0.333333333333333,0.30972204062534,-0.0109103630785124
"603259.ss",4,5,0.8,0.171965249895858,0.433936009531074
"603986.ss",1,5,0.2,0.158297478272873,0.120046714950276
"600016.ss",6,25,0.24,0.042102880540352,-0.11443473772553
"600031.ss",8,20,0.4,0.372025420150959,0.123719891933569
"600050.ss",4,16,0.25,0.0642700394862909,-0.306708815639123
"600276.ss",7,26,0.269230769230769,0.153908804574835,-0.545921433983664
"600519.ss",12,17,0.705882352941177,0.453053514003882,0.427152617248126
"600585.ss",6,14,0.428571428571429,0.45053188908527,-0.24311399763387
"600703.ss",10,24,0.416666666666667,0.205890746596554,-0.145607641982547
"600837.ss",9,18,0.5,0.226407896976784,0.19878962736879
"600918.ss",0,2,0,-0.158489147668252,-1.00168417432388
"601088.ss",3,15,0.2,-0.0654831087807981,-0.227436374763264
"601211.ss",1,6,0.166666666666667,-0.044100824509703,-0.234281512538661
"601336.ss",2,11,0.181818181818182,0.101556641558484,-0.140439987023665
"601628.ss",6,12,0.5,0.145748447769913,0.00794274762885932
"601818.ss",2,14,0.142857142857143,0.0217850605351375,-0.488757451086529
"601899.ss",5,13,0.384615384615385,0.022080236412615,-0.31804156993213
"603288.ss",3,7,0.428571428571429,0.245531303233148,-0.401963113451002
"overall",279,777,0.359073359073359,0.157747576563376,-0.337955329608032
