"","win_num","trans_num","winrate","return","ann_return"
"600000.ss",19,83,0.228915662650602,0.00458365042796796,-0.487520597908534
"600028.ss",19,71,0.267605633802817,0.00741683178748542,-0.253526172678613
"600036.ss",19,88,0.215909090909091,0.0105531603703873,-0.656418632528553
"600104.ss",25,90,0.277777777777778,0.0101447424669069,-0.618069839950169
"600309.ss",24,73,0.328767123287671,0.0670183667836334,-0.356264859655404
"600547.ss",23,69,0.333333333333333,0.101518624612605,-0.744698321258087
"600588.ss",28,79,0.354430379746835,0.0621995059375717,-0.00965826262495751
"600745.ss",28,85,0.329411764705882,0.0446513178172411,-1.0219137874937
"600887.ss",33,100,0.33,0.0361907263868076,-1.15848726389546
"601012.ss",17,37,0.459459459459459,0.124780495668369,-0.165890373603416
"601138.ss",4,14,0.285714285714286,0.000392095760233191,-0.39130909129892
"601288.ss",5,37,0.135135135135135,0.00771918720610106,-0.0793202232148895
"601398.ss",6,56,0.107142857142857,0.00145375016517702,-0.457305959012283
"601668.ss",11,42,0.261904761904762,0.0329915067667253,-0.273069001282446
"601857.ss",8,47,0.170212765957447,0.00156176732822421,-0.357783335027989
"601995.ss",3,6,0.5,0.0042716031267208,-0.335889721117197
"603501.ss",5,17,0.294117647058824,0.153894634954495,-0.416674720382362
"600009.ss",28,88,0.318181818181818,0.0500076653092199,-0.285047962096355
"600030.ss",21,70,0.3,0.0722018692656936,-0.408271590510994
"600048.ss",21,67,0.313432835820896,0.0345152127607895,-0.211213317917529
"600196.ss",20,80,0.25,-0.00557739852406202,-0.994195540301579
"600438.ss",19,54,0.351851851851852,0.0365005763655572,-0.387582608935272
"600570.ss",19,65,0.292307692307692,0.047380536318767,-0.488259873753927
"600690.ss",38,110,0.345454545454545,0.0594987954882451,-0.0582373331768658
"600809.ss",39,111,0.351351351351351,0.0507257717112475,-1.16697121370957
"600893.ss",25,85,0.294117647058824,0.0391130982347144,-1.12490803368784
"601066.ss",4,11,0.363636363636364,0.198752893102117,-1.30654227249048
"601166.ss",17,62,0.274193548387097,0.0309273548581564,-0.508747391686096
"601318.ss",19,63,0.301587301587302,0.0265695050242933,-0.468715115516136
"601601.ss",11,51,0.215686274509804,-0.00819224311730939,-0.639766714752563
"601688.ss",11,43,0.255813953488372,0.0121027865906021,-0.269359895573643
"601888.ss",15,45,0.333333333333333,0.0561337496572478,-0.620012872787698
"603259.ss",4,13,0.307692307692308,0.0395079040572544,-0.777831726584877
"603986.ss",6,16,0.375,0.014414325964102,-2.29954396659035
"600016.ss",16,72,0.222222222222222,0.0179448216150841,-0.473497893677009
"600031.ss",27,70,0.385714285714286,0.0587608149950212,-0.00201787926853129
"600050.ss",16,76,0.210526315789474,0.0175007211269496,-0.424007322322239
"600276.ss",27,81,0.333333333333333,0.030787546261572,-0.596814053267619
"600519.ss",23,78,0.294871794871795,0.0382154025707348,-0.361584884265217
"600585.ss",24,79,0.30379746835443,0.0319710512304967,-0.565324760354239
"600703.ss",29,84,0.345238095238095,0.0721503925157391,-0.679670617300581
"600837.ss",26,96,0.270833333333333,0.0847652393202352,-0.737830495447189
"600918.ss",1,5,0.2,-0.0691711217116463,-3.32814536233301
"601088.ss",13,59,0.220338983050847,-0.00348810144605424,-0.935788196412032
"601211.ss",3,23,0.130434782608696,-0.00942208815483543,-0.160597526568837
"601336.ss",10,42,0.238095238095238,0.0129335182671658,-0.567069305221164
"601628.ss",18,62,0.290322580645161,0.0131376155722548,-0.245417720673625
"601818.ss",4,37,0.108108108108108,0.00378822569237473,-0.464856376938393
"601899.ss",10,44,0.227272727272727,0.0270721031402853,-0.570475566180601
"603288.ss",12,30,0.4,0.0500283751065205,-0.0277671182463152
"overall",853,2966,0.287592717464599,0.0360579777347037,-0.598797453429627
