"","win_num","trans_num","winrate","return","ann_return"
"A",3,4,0.75,0.0937003102102635,0.0837759295103612
"AA",6,8,0.75,0.235382738109074,0.30003279805143
"AAL",2,2,1,1.34351773521059,1.91340859121442
"AAN",0,0,0,0,0
"AAON",4,4,1,0.335301496558218,0.821240503561767
"AAP",2,2,1,0.28241331011317,0.288630657948488
"AAPL",6,8,0.75,0.380191468325963,0.282786562814747
"AAT",0,2,0,-0.114612913467941,-0.0776443382554743
"AAWW",1,2,0.5,0.150779474427353,0.359272498250723
"ABBV",2,2,1,0.273291988912469,0.334976275514645
"ABC",0,0,0,0,0
"ABCB",1,2,0.5,0.361462374453612,0.0935793506822137
"ABG",4,5,0.8,0.333565505714362,0.611027737518888
"ABM",5,6,0.833333333333333,0.283616341444219,0.503073130527616
"ABMD",5,5,1,0.713812863581584,0.779492278673503
"ABT",4,6,0.666666666666667,0.27426305700009,0.160693045591047
"ABTX",1,1,1,0.459447718520286,0.687288595327477
"ACA",0,0,0,0,0
"ACC",4,4,1,0.253972689999075,0.183247635624178
"ACGL",3,3,1,0.794287647560009,0.405839429609748
"ACHC",1,2,0.5,-0.0986248537206939,0.33927066963596
"ACI",0,0,0,0,0
"ACIW",4,5,0.8,0.14182387889731,0.362705589059423
"ACLS",1,3,0.333333333333333,0.0882861352440035,1.19748685666885
"ACM",0,1,0,-0.0502707637172944,-0.0157096136616545
"ACN",1,1,1,0.447486176647485,0.211844947440119
"ADBE",5,6,0.833333333333333,0.255378750930707,0.499068671778359
"ADC",5,7,0.714285714285714,0.157165155698496,0.339861435389122
"ADI",3,6,0.5,0.0823514873471723,0.121738970686518
"ADM",6,9,0.666666666666667,0.110633366108865,0.133933516492807
"ADNT",0,1,0,-0.436694780097734,-0.430793499285603
"ADP",3,4,0.75,0.0878222228544561,0.242897745103611
"ADPT",1,1,1,0.796047651006711,1.14844819216383
"ADS",3,4,0.75,0.561090159646856,0.36996480292251
"ADSK",4,5,0.8,0.121557661282422,0.226665450959176
"ADT",0,0,0,0,0
"ADTN",1,3,0.333333333333333,0.00329490346852845,0.0579751601077617
"ADUS",1,1,1,2.44778761061947,0.777582661336907
"AEE",1,3,0.333333333333333,-0.0285148414313307,0.015810423890192
"AEIS",3,6,0.5,0.357218912209996,2.59988660680753
"AEL",3,4,0.75,0.2814661261348,0.859169484455708
"AEO",1,5,0.2,0.257458033219209,0.0870584857567866
"AEP",5,7,0.714285714285714,0.162851405322276,0.178017570936441
"AES",1,5,0.2,-0.206972866175502,-0.128038008108523
"AFG",4,6,0.666666666666667,0.131441512507727,0.181135403689988
"AFL",6,7,0.857142857142857,0.530027729677107,0.32885984914297
"AGCO",8,9,0.888888888888889,1.18412632814332,0.893538127882395
"AGL",0,0,0,0,0
"AGNC",0,1,0,-0.234405176848875,-0.147513602672137
"AGO",3,4,0.75,0.380750758803179,0.338345440617376
"AGR",1,1,1,0.188382605605718,0.354431190959212
"AGYS",3,5,0.6,0.370694271390586,1.46534584106927
"AHH",0,0,0,0,0
"AI",0,0,0,0,0
"AIG",3,6,0.5,-0.13161713661055,0.205032947243832
"AIN",3,6,0.5,0.36647246163492,0.129655605686211
"AIR",5,7,0.714285714285714,0.569569024201555,0.247892168524158
"AIRC",0,0,0,0,0
"AIT",4,4,1,0.742753149182648,0.201994255328643
"AIZ",1,1,1,0.210744659574468,0.784916334129396
"AJG",7,9,0.777777777777778,0.147487007103236,0.232007237227542
"AJRD",3,5,0.6,0.168027247459992,0.438551960618102
"AKAM",3,4,0.75,0.830670824989993,0.533998479489913
"AKR",0,2,0,-0.35749638475533,-0.123802221871062
"AL",1,2,0.5,0.179762019446242,0.254690571980319
"ALB",3,3,1,0.245311342927976,0.241609870835169
"ALE",6,8,0.75,0.173231566404141,0.0308393981813374
"ALEX",1,2,0.5,-0.18335689541294,0.0237793125364193
"ALG",2,4,0.5,0.132558835135885,0.565831723728959
"ALGM",0,0,0,0,0
"ALGN",2,3,0.666666666666667,3.63158446499184,0.821997234651634
"ALGT",0,1,0,0.0254545454545454,0.0146083476272155
"ALK",7,9,0.777777777777778,0.160577334019648,0.363029100383021
"ALL",3,3,1,0.468465170891648,0.268298949550859
"ALLE",1,1,1,0.365313678270085,0.216460215208735
"ALLY",1,2,0.5,0.0508868429155629,0.544164572357207
"ALNY",1,1,1,0.835405674091514,0.267476378108248
"ALRM",1,1,1,0.63143899063792,1.13534596838838
"ALSN",2,2,1,0.70954967909157,0.278318576324714
"AMAT",4,6,0.666666666666667,0.511225976736307,0.754761469103347
"AMBC",1,2,0.5,-0.0278393645047278,0.0223943678292539
"AMBP",0,0,0,0,0
"AMCR",0,0,0,0,0
"AMCX",0,0,0,0,0
"AMD",4,6,0.666666666666667,0.102332195202259,0.450571523187382
"AME",3,5,0.6,0.143523470604169,0.506754997522217
"AMED",2,3,0.666666666666667,1.7419943971466,0.854606058324036
"AMEH",1,1,1,1,0.33001808318264
"AMG",3,5,0.6,0.48841337728572,0.748554756018984
"AMGN",4,7,0.571428571428571,0.298947110366472,0.448738023566763
"AMH",2,2,1,0.278249739209008,0.269861147202091
"AMKR",7,7,1,0.921257030310175,3.0413258979646
"AMN",2,2,1,0.239853037622738,0.269407414708894
"AMP",2,3,0.666666666666667,-0.0502871693123436,-0.0387556348704945
"AMPH",1,1,1,1.52020212121212,0.353422786141671
"AMSF",1,1,1,1.20224013690106,0.399651775927947
"AMT",1,1,1,0.445070422535211,0.580181086519115
"AMWD",3,4,0.75,1.31030519065063,0.837000258432313
"AMZN",2,2,1,5.42254738693433,1.08427336235455
"AN",3,6,0.5,-0.00316686161612075,0.139617659338645
"ANDE",4,6,0.666666666666667,0.0835031115708428,0.244225939388999
"ANET",1,1,1,0.30023667320394,0.158361829074332
"ANF",3,5,0.6,0.525279504973656,0.705116123098642
"ANGO",2,2,1,0.420896930696869,0.153602759402296
"ANIK",4,4,1,1.6141059413995,0.855892710566667
"ANIP",0,4,0,-0.3310775114487,-0.158589275868599
"ANSS",3,3,1,0.713623318738526,0.40894357675775
"ANTM",2,3,0.666666666666667,0.0915169121703221,0.0490025212190035
"AON",6,7,0.857142857142857,0.205549003002659,0.192838206153914
"AORT",2,2,1,1.11632981143839,0.331311136600864
"AOS",4,6,0.666666666666667,0.319309758749936,0.214081969183281
