"","win_num","trans_num","winrate","return","ann_return"
"0005.hk",3,5,0.6,0.0238842945298355,0.157923930659593
"0011.hk",0,3,0,-0.0444030373952302,-0.0433123145719185
"0388.hk",4,6,0.666666666666667,0.466383082560637,0.229240452026316
"0939.hk",4,4,1,0.12974846092526,0.184587040010859
"1299.hk",1,1,1,0.143843494963326,0.656285945770174
"1398.hk",1,2,0.5,-0.0187532026758489,0.00264509320891367
"2318.hk",3,3,1,1.5910953809605,0.812639020474949
"2388.hk",1,2,0.5,0.142699613953043,0.27865112041916
"2628.hk",0,3,0,-0.084095294761933,-0.0917832140402323
"3968.hk",2,4,0.5,0.119649530572447,0.23767063334596
"3988.hk",2,4,0.5,0.0219622021394106,0.00893747011808054
"0002.hk",1,3,0.333333333333333,0.0487546489424453,0.0396919292319681
"0003.hk",1,1,1,0.655925190161176,0.122211686783476
"0006.hk",1,4,0.25,-0.000477125817775592,0.0693768678174425
"1038.hk",2,3,0.666666666666667,0.301214696688477,0.126274713478515
"0012.hk",1,2,0.5,0.293297919590085,0.0459361940027339
"0016.hk",2,4,0.5,0.103457727822765,0.0267848376105753
"0017.hk",2,5,0.4,0.708053962196662,0.223279363339674
"0101.hk",1,2,0.5,0.0234700691503155,0.0560043527828887
"0688.hk",3,3,1,0.874612094677658,0.200923945980335
"0823.hk",1,1,1,0.338728369942197,0.694583455218549
"0960.hk",2,3,0.666666666666667,0.392732318203884,0.605291918444488
"1109.hk",4,4,1,0.720224966528829,0.298691356657642
"1113.hk",1,1,1,0.216019339417006,0.281596638882883
"1997.hk",0,0,0,0,0
"2007.hk",1,4,0.25,0.124356939642709,0.197386287575592
"6098.hk",0,0,0,0,0
"0001.hk",4,5,0.8,0.184283972825746,0.37487758098586
"0027.hk",1,3,0.333333333333333,-0.0439899544901499,-0.0646699398210697
"0066.hk",4,4,1,0.24142127629121,0.358866481815363
"0175.hk",1,1,1,0.122516556291391,0.11924944812362
"0241.hk",1,2,0.5,4.33060876968923,0.460304668996408
"0267.hk",3,4,0.75,0.139507578061811,0.0795520564532955
"0288.hk",1,1,1,0.085185185185185,0.0903854435831178
"0386.hk",4,4,1,0.257800662383886,0.275312293565794
"0669.hk",3,4,0.75,0.165139569753903,0.244206054072792
"0700.hk",4,4,1,0.393894404283479,0.623999366220653
"0762.hk",0,2,0,-0.200724354798536,-0.131105874641414
"0857.hk",4,5,0.8,0.0337500394284895,0.452395992568211
"0868.hk",1,1,1,0.308017401277766,0.362665649891564
"0883.hk",2,3,0.666666666666667,0.108172233884825,0.186494837397945
"0941.hk",3,6,0.5,0.298024379047569,0.238164887185812
"0968.hk",1,1,1,1.2780269058296,1.0798143996014
"1044.hk",1,1,1,0.0786698757933535,0.273471472995943
"1093.hk",1,2,0.5,0.9813044641677,0.681143751613612
"1177.hk",1,2,0.5,0.134632460675537,0.914818884003858
"1211.hk",5,5,1,1.30627052013062,1.34313206547471
"1810.hk",1,1,1,0.477272727272727,0.5945547626435
"1876.hk",0,0,0,0,0
"1928.hk",1,1,1,0.183423918027824,0.0426975319388748
"2018.hk",0,0,0,0,0
"2020.hk",1,1,1,3.55163043478261,0.65804320238358
"2269.hk",0,0,0,0,0
"2313.hk",3,3,1,0.680057101547461,0.452169180327107
"2319.hk",1,1,1,2.45557122708039,2.27483121290443
"2331.hk",3,4,0.75,0.193093129171511,1.28581378030651
"2382.hk",0,1,0,-0.25,-0.340485074626866
"3690.hk",0,0,0,0,0
"6862.hk",0,0,0,0,0
"9988.hk",0,0,0,0,0
"overall",99,149,0.664429530201342,0.47665281012525,0.352927362330639
