,win_num,trans_num,winrate,return,ann_return,,,,,,,,
ABT,4,6,0.666666667,0.274263057,0.160693046,,,,,,,,
AMD,4,6,0.666666667,0.102332195,0.450571523,,,,,,,,
APD,7,7,1,0.165184968,0.195179367,,,,,,,,
SWKS,7,9,0.777777778,0.594189878,0.530270496,,,,,,,,
HWM,2,2,1,0.771809199,1.163625788,,,,,,,,
HES,7,7,1,0.203607095,0.302084564,,,,,,,,
AEP,5,7,0.714285714,0.162851405,0.178017571,,,,,,,,
AXP,7,8,0.875,0.297420054,0.535613216,,,,,,,,
AFL,6,7,0.857142857,0.53002773,0.328859849,,,,,,,,
AIG,3,6,0.5,-0.131617137,0.205032947,,,,,,,,
AAL,2,2,1,1.343517735,1.913408591,,,,,,,,
ADI,3,6,0.5,0.082351487,0.121738971,,,,,,,,
APA,4,7,0.571428571,0.206786443,0.125186903,,,,,,,,
AMAT,4,6,0.666666667,0.511225977,0.754761469,,,,,,,,
ADM,6,9,0.666666667,0.110633366,0.133933516,,,,,,,,
ADP,3,4,0.75,0.087822223,0.242897745,,,,,,,,
AVY,3,4,0.75,0.174663829,0.553048138,,,,,,,,
BLL,9,10,0.9,0.166344717,0.42941159,,,,,,,,
BAX,5,5,1,0.320824156,0.190427748,,,,,,,,
BDX,5,5,1,0.146457705,0.376447621,,,,,,,,
WRB,3,5,0.6,0.397861019,0.239068083,,,,,,,,
BIO,7,8,0.875,0.838304656,0.508251648,,,,,,,,
BA,4,5,0.8,0.297400822,0.178448108,,,,,,,,
BMY,5,7,0.714285714,0.275731454,0.352328194,,,,,,,,
BF-B,4,4,1,0.420786305,0.241227697,,,,,,,,
CPB,4,5,0.8,0.131241763,0.389994829,,,,,,,,
STZ,2,3,0.666666667,0.216570099,0.1678651,,,,,,,,
CAT,5,7,0.714285714,0.306523207,0.135027628,,,,,,,,
LUMN,2,5,0.4,-0.038874285,0.139174729,,,,,,,,
JPM,1,3,0.333333333,-0.024451575,-0.06165147,,,,,,,,
CINF,5,6,0.833333333,0.129601798,0.164006663,,,,,,,,
CLX,3,4,0.75,0.249282901,0.267232315,,,,,,,,
KO,4,4,1,0.295571283,0.209559466,,,,,,,,
CL,8,9,0.888888889,0.232737297,0.358673832,,,,,,,,
CAG,3,6,0.5,0.151647008,0.138314058,,,,,,,,
TAP,3,5,0.6,0.096399301,0.037017961,,,,,,,,
GLW,5,7,0.714285714,0.201438568,0.359984624,,,,,,,,
CMI,8,9,0.888888889,0.31767752,0.220826583,,,,,,,,
TGT,3,4,0.75,0.198578822,0.226472015,,,,,,,,
DAL,1,1,1,2.633333529,0.533981521,,,,,,,,
CMA,3,5,0.6,0.377826242,0.225066261,,,,,,,,
DG,0,0,0,0,0,,,,,,,,
DOV,5,6,0.833333333,0.341707763,0.176120905,,,,,,,,
OMC,2,3,0.666666667,0.031865915,0.009595653,,,,,,,,
ECL,1,2,0.5,0.118061715,0.475693269,,,,,,,,
PKI,6,7,0.857142857,0.19594865,0.373266426,,,,,,,,
EMR,6,6,1,0.306757122,0.24919103,,,,,,,,
EFX,2,2,1,0.642650318,0.320117682,,,,,,,,
XOM,4,6,0.666666667,0.133375734,0.168554459,,,,,,,,
FRT,4,6,0.666666667,0.139258449,0.272861226,,,,,,,,
FITB,3,5,0.6,0.015034535,0.646594292,,,,,,,,
USB,7,7,1,0.554883199,0.434235288,,,,,,,,
MTB,3,6,0.5,0.242580251,0.25595461,,,,,,,,
FMC,1,4,0.25,0.093638272,0.013193421,,,,,,,,
F,3,7,0.428571429,0.444868707,0.315674779,,,,,,,,
BEN,3,5,0.6,0.448835577,0.463738528,,,,,,,,
GD,2,6,0.333333333,0.072370352,0.066010912,,,,,,,,
