"","win_num","trans_num","winrate","return","ann_return"
"600000.ss",0,2,0,-0.0763391719029238,-0.0401132123352694
"600011.ss",1,2,0.5,0.577751196172249,0.502806361615923
"600025.ss",1,2,0.5,0.179391165937127,0.27176247366508
"600030.ss",4,4,1,1.21078518285608,0.493118206297448
"600038.ss",3,3,1,1.17491483512387,0.399887131730891
"600061.ss",0,2,0,-0.399212736019644,-0.272683855199975
"600104.ss",1,1,1,0.936128246369647,0.130365055293751
"600118.ss",0,1,0,-0.488753414414552,-0.106250742264033
"600150.ss",3,3,1,4.51905040401982,0.927440241017002
"600183.ss",3,5,0.6,0.223824079902569,0.502731285205071
"600298.ss",1,2,0.5,0.455638936813294,0.101135805263485
"600340.ss",1,1,1,3.40823397998495,0.640249821252963
"600362.ss",1,1,1,0.147873058744092,0.0272181878172433
"600426.ss",2,2,1,0.111955469158369,0.164395445467543
"600489.ss",0,3,0,-0.165765788072125,-0.214785183701887
"600519.ss",2,3,0.666666666666667,0.541016117173803,0.223952246305892
"600536.ss",1,2,0.5,1.47823754679798,3.74700887271499
"600584.ss",2,3,0.666666666666667,1.07843938623216,0.34732577646233
"600598.ss",1,2,0.5,-0.0173425180289683,0.262066968938488
"600621.ss",0,3,0,-0.117298605792422,-0.183252681035616
"600699.ss",3,5,0.6,0.186148011582485,0.169659768575798
"600741.ss",2,5,0.4,0.0784509432008155,0.15068162456283
"600763.ss",5,6,0.833333333333333,0.603833114437149,0.508935254643204
"600827.ss",4,4,1,1.00744755985219,0.521502287887562
"600862.ss",5,7,0.714285714285714,0.834304946005507,0.622723461671764
"600886.ss",2,3,0.666666666666667,0.131234073362153,0.450421637271237
"600895.ss",2,2,1,0.404963353157354,0.089012499404455
"600918.ss",0,0,0,0,0
"600958.ss",0,1,0,-0.171597633136095,-0.0475574305958045
"601009.ss",1,2,0.5,0.120963106136523,0.0335358054111767
"601066.ss",1,1,1,2.95092036809816,2.05159225591586
"601100.ss",1,1,1,0.191875924676354,0.18003782135442
"601138.ss",0,0,0,0,0
"601166.ss",3,3,1,0.37292638828111,0.141210657713447
"601198.ss",0,0,0,0,0
"601225.ss",1,1,1,0.554726368159204,0.189052403714388
"601238.ss",0,0,0,0,0
"601319.ss",0,0,0,0,0
"601360.ss",1,1,1,0.539155706588208,0.483518016964855
"601398.ss",1,1,1,0.293800539083558,0.11797271371342
"601601.ss",0,1,0,0.0245536160714286,0.0123105355303179
"601628.ss",1,2,0.5,0.182339943041468,0.0256853532362541
"601668.ss",1,2,0.5,0.0507078076571723,0.292204337604464
"601689.ss",1,1,1,1.60733074634008,1.51205083096425
"601766.ss",0,1,0,-0.0306122448979592,-0.012305583026162
"601800.ss",0,0,0,0,0
"601857.ss",0,2,0,-0.258182319371256,0.00151702709203165
"601877.ss",2,2,1,0.939616592272314,0.224201691257002
"601888.ss",1,1,1,0.19483281490378,0.274571341466717
"601916.ss",0,0,0,0,0
"601939.ss",1,1,1,0.444,0.0595152405435182
"601988.ss",0,1,0,-0.209788617124759,-0.0793500987052196
"601995.ss",0,0,0,0,0
"603160.ss",0,0,0,0,0
"603288.ss",0,0,0,0,0
"603501.ss",0,0,0,0,0
"603658.ss",1,1,1,0.744840487804878,0.781226373703392
"603806.ss",1,1,1,0.471815235820884,0.262119575456047
"603986.ss",0,0,0,0,0
"688111.ss",0,0,0,0,0
"600009.ss",0,2,0,-0.000306853045529687,0.0303509059135453
"600016.ss",2,2,1,0.325317733304436,0.741681207683128
"600028.ss",1,4,0.25,-0.069998559666328,-0.101520381022452
"600031.ss",1,3,0.333333333333333,0.0551814582116306,0.0442237504728321
"600048.ss",3,3,1,0.801084947902712,0.320822676689709
"600066.ss",3,3,1,0.739034318078328,0.210717665920524
"600109.ss",1,2,0.5,0.0869203576627157,0.00226654356269222
"600132.ss",3,6,0.5,0.37367385684286,0.482292961579966
"600161.ss",2,4,0.5,0.52015765913024,0.280042457255879
"600196.ss",4,4,1,0.258432187346577,0.245482993223707
"600305.ss",0,1,0,0.0207378210285076,0.00976684474245843
"600346.ss",3,3,1,1.12847742629294,0.808663293943507
"600383.ss",3,4,0.75,0.723547190159906,0.249767691658461
"600436.ss",1,2,0.5,1.18646514236778,0.358295187080138
"600511.ss",1,3,0.333333333333333,0.254833809542945,-0.00340495323197186
"600521.ss",4,4,1,0.206426361697666,0.592068312269407
"600547.ss",2,3,0.666666666666667,0.876263896129538,0.260939045143301
"600585.ss",3,3,1,0.483219446129375,0.810222357582733
"600600.ss",2,3,0.666666666666667,0.898701509485504,0.200517486168516
"600660.ss",2,4,0.5,0.597213623239395,0.0868206465822183
